station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LAX,2022-04-01 00:53,-118.3865,33.9382,32.00,59.00,51.10,75.02,270.00,9.00,0.00,29.85,1010.60,10.00,null,OVC,null,null,null,4200.00,null,null,null,null,null,null,null,null,null,null,59.00,KLAX 010053Z 27009KT 10SM OVC042 15/11 A2985 RMK AO2 SLP106 T01500106,null
LAX,2022-04-01 01:53,-118.3865,33.9382,32.00,59.00,52.00,77.55,250.00,8.00,0.00,29.84,1010.50,10.00,null,OVC,null,null,null,4000.00,null,null,null,null,null,null,null,null,null,null,59.00,KLAX 010153Z 25008KT 10SM OVC040 15/11 A2984 RMK AO2 SLP105 T01500111,null
LAX,2022-04-01 02:53,-118.3865,33.9382,32.00,57.90,52.00,80.67,270.00,8.00,0.00,29.84,1010.50,10.00,null,OVC,null,null,null,3800.00,null,null,null,null,null,null,null,null,null,null,57.90,KLAX 010253Z 27008KT 10SM OVC038 14/11 A2984 RMK AO2 SLP105 T01440111 55001,null
LAX,2022-04-01 03:53,-118.3865,33.9382,32.00,57.90,53.10,84.00,280.00,8.00,0.00,29.86,1010.90,10.00,null,FEW,OVC,null,null,1500.00,4000.00,null,null,null,null,null,null,null,null,null,57.90,KLAX 010353Z 28008KT 10SM FEW015 OVC040 14/12 A2986 RMK AO2 SLP109 T01440117,null
LAX,2022-04-01 04:53,-118.3865,33.9382,32.00,57.90,53.10,84.00,300.00,6.00,0.00,29.86,1011.20,10.00,null,FEW,OVC,null,null,1200.00,4200.00,null,null,null,null,null,null,null,null,null,57.90,KLAX 010453Z 30006KT 10SM FEW012 OVC042 14/12 A2986 RMK AO2 SLP112 T01440117,null
LAX,2022-04-01 05:53,-118.3865,33.9382,32.00,57.90,52.00,80.67,250.00,5.00,0.00,29.87,1011.30,10.00,null,FEW,OVC,null,null,1000.00,4200.00,null,null,null,null,null,null,null,null,null,57.90,KLAX 010553Z 25005KT 10SM FEW010 OVC042 14/11 A2987 RMK AO2 SLP113 T01440111 10161 20144 51008,null
LAX,2022-04-01 06:53,-118.3865,33.9382,32.00,57.90,52.00,80.67,320.00,4.00,0.00,29.87,1011.40,10.00,null,FEW,SCT,null,null,800.00,4400.00,null,null,null,null,null,null,null,null,null,57.90,KLAX 010653Z 32004KT 10SM FEW008 SCT044 14/11 A2987 RMK AO2 SLP114 T01440111,null
LAX,2022-04-01 07:50,-118.3865,33.9382,32.00,57.20,51.80,82.12,310.00,3.00,0.00,29.87,null,10.00,null,FEW,BKN,null,null,800.00,2800.00,null,null,null,null,null,null,null,null,null,57.20,KLAX 010750Z 31003KT 10SM FEW008 BKN028 14/11 A2987 RMK AO2,null
LAX,2022-04-01 07:53,-118.3865,33.9382,32.00,57.90,51.10,78.03,270.00,4.00,0.00,29.87,1011.40,10.00,null,FEW,BKN,null,null,800.00,2800.00,null,null,null,null,null,null,null,null,null,57.90,KLAX 010753Z 27004KT 10SM FEW008 BKN028 14/11 A2987 RMK AO2 SLP114 T01440106 401720139,null
LAX,2022-04-01 08:53,-118.3865,33.9382,32.00,57.00,51.10,80.60,290.00,3.00,0.00,29.87,1011.40,10.00,null,FEW,SCT,BKN,null,800.00,2900.00,4200.00,null,null,null,null,null,null,null,null,57.00,KLAX 010853Z 29003KT 10SM FEW008 SCT029 BKN042 14/11 A2987 RMK AO2 SLP114 T01390106 50001,null
LAX,2022-04-01 09:53,-118.3865,33.9382,32.00,57.00,51.10,80.60,310.00,3.00,0.00,29.87,1011.20,10.00,null,FEW,FEW,SCT,null,800.00,2500.00,4200.00,null,null,null,null,null,null,null,null,57.00,KLAX 010953Z 31003KT 10SM FEW008 FEW025 SCT042 14/11 A2987 RMK AO2 SLP112 T01390106,null
LAX,2022-04-01 10:53,-118.3865,33.9382,32.00,57.00,51.10,80.60,310.00,3.00,0.00,29.86,1010.90,10.00,null,FEW,FEW,SCT,null,800.00,2000.00,4000.00,null,null,null,null,null,null,null,null,57.00,KLAX 011053Z 31003KT 10SM FEW008 FEW020 SCT040 14/11 A2986 RMK AO2 SLP109 T01390106,null
LAX,2022-04-01 11:53,-118.3865,33.9382,32.00,54.00,50.00,86.29,0.00,0.00,0.00,29.86,1010.80,10.00,null,FEW,FEW,SCT,null,600.00,800.00,2000.00,null,null,null,null,null,null,null,null,54.00,KLAX 011153Z 00000KT 10SM FEW006 FEW008 SCT020 12/10 A2986 RMK AO2 SLP108 FU FEW006 T01220100 10150 20122 56006,null
LAX,2022-04-01 12:53,-118.3865,33.9382,32.00,55.90,52.00,86.71,310.00,3.00,0.00,29.87,1011.20,10.00,null,FEW,FEW,null,null,800.00,2000.00,null,null,null,null,null,null,null,null,null,55.90,KLAX 011253Z 31003KT 10SM FEW008 FEW020 13/11 A2987 RMK AO2 SLP112 T01330111,null
LAX,2022-04-01 13:53,-118.3865,33.9382,32.00,55.90,52.00,86.71,300.00,4.00,0.00,29.89,1011.90,8.00,null,FEW,FEW,SCT,null,900.00,2200.00,16000.00,null,null,null,null,null,null,null,null,55.90,KLAX 011353Z 30004KT 8SM FEW009 FEW022 SCT160 13/11 A2989 RMK AO2 SLP119 T01330111,null
LAX,2022-04-01 14:36,-118.3865,33.9382,32.00,57.00,53.10,86.77,260.00,6.00,0.00,29.90,null,10.00,null,BKN,BKN,null,null,1100.00,16000.00,null,null,null,null,null,null,null,null,null,57.00,KLAX 011436Z 26006KT 10SM BKN011 BKN160 14/12 A2990 RMK AO2 BKN011 V SCT T01390117,null
LAX,2022-04-01 14:53,-118.3865,33.9382,32.00,57.00,53.10,86.77,270.00,6.00,0.00,29.91,1012.50,8.00,null,BKN,BKN,null,null,1000.00,16000.00,null,null,null,null,null,null,null,null,null,57.00,KLAX 011453Z 27006KT 8SM BKN010 BKN160 14/12 A2991 RMK AO2 SLP125 BKN011 V SCT T01390117 53017,null
LAX,2022-04-01 15:38,-118.3865,33.9382,32.00,57.20,51.80,82.12,250.00,6.00,0.00,29.91,null,10.00,null,BKN,null,null,null,1600.00,null,null,null,null,null,null,null,null,null,null,57.20,KLAX 011538Z 25006KT 10SM BKN016 14/11 A2991,null
LAX,2022-04-01 15:53,-118.3865,33.9382,32.00,59.00,53.10,80.75,270.00,6.00,0.00,29.91,1012.80,9.00,null,SCT,BKN,BKN,null,1000.00,1600.00,15000.00,null,null,null,null,null,null,null,null,59.00,KLAX 011553Z 27006KT 9SM SCT010 BKN016 BKN150 15/12 A2991 RMK AO2 SLP128 T01500117,null
LAX,2022-04-01 16:53,-118.3865,33.9382,32.00,60.10,53.10,77.65,260.00,7.00,0.00,29.93,1013.40,9.00,null,SCT,BKN,BKN,null,1000.00,1500.00,14000.00,null,null,null,null,null,null,null,null,60.10,KLAX 011653Z 26007KT 9SM SCT010 BKN015 BKN140 16/12 A2993 RMK AO2 SLP134 T01560117,null
LAX,2022-04-01 17:46,-118.3865,33.9382,32.00,62.10,53.10,72.33,260.00,8.00,0.00,29.94,null,9.00,null,SCT,BKN,null,null,1600.00,14000.00,null,null,null,null,null,null,null,null,null,62.10,KLAX 011746Z 26008KT 9SM SCT016 BKN140 17/12 A2994 RMK AO2 T01670117,null
LAX,2022-04-01 17:53,-118.3865,33.9382,32.00,61.00,53.10,75.20,250.00,6.00,0.00,29.94,1013.70,9.00,null,FEW,BKN,null,null,1700.00,14000.00,null,null,null,null,null,null,null,null,null,61.00,KLAX 011753Z 25006KT 9SM FEW017 BKN140 16/12 A2994 RMK AO2 SLP137 T01610117 10167 20122 53012,null
