station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LAX,2022-08-01 00:53,-118.3865,33.9382,32.00,75.00,64.00,68.64,260.00,11.00,0.00,29.97,1014.70,10.00,null,FEW,FEW,SCT,SCT,1500.00,11000.00,15000.00,25000.00,null,null,null,null,null,null,null,75.00,KLAX 010053Z 26011KT 10SM FEW015 FEW110 SCT150 SCT250 24/18 A2997 RMK AO2 SLP147 T02390178,null
LAX,2022-08-01 01:53,-118.3865,33.9382,32.00,72.00,64.00,75.92,260.00,14.00,0.00,29.96,1014.50,10.00,null,FEW,FEW,SCT,SCT,1500.00,11000.00,15000.00,25000.00,null,null,null,null,null,null,null,72.00,KLAX 010153Z 26014KT 10SM FEW015 FEW110 SCT150 SCT250 22/18 A2996 RMK AO2 SLP145 T02220178,null
LAX,2022-08-01 02:53,-118.3865,33.9382,32.00,71.10,64.00,78.28,260.00,7.00,0.00,29.99,1015.20,10.00,null,FEW,FEW,BKN,null,1500.00,11000.00,15000.00,null,null,null,null,null,null,null,null,71.10,KLAX 010253Z 26007KT 10SM FEW015 FEW110 BKN150 22/18 A2999 RMK AO2 SLP152 T02170178 53006,null
LAX,2022-08-01 03:53,-118.3865,33.9382,32.00,71.10,64.00,78.28,250.00,6.00,0.00,30.00,1015.50,10.00,null,FEW,BKN,null,null,1500.00,15000.00,null,null,null,null,null,null,null,null,null,71.10,KLAX 010353Z 25006KT 10SM FEW015 BKN150 22/18 A3000 RMK AO2 SLP155 T02170178,null
LAX,2022-08-01 04:53,-118.3865,33.9382,32.00,71.10,64.90,80.78,250.00,8.00,0.00,30.01,1015.80,10.00,null,FEW,OVC,null,null,1500.00,15000.00,null,null,null,null,null,null,null,null,null,71.10,KLAX 010453Z 25008KT 10SM FEW015 OVC150 22/18 A3001 RMK AO2 SLP158 T02170183,null
LAX,2022-08-01 05:53,-118.3865,33.9382,32.00,70.00,64.90,83.86,250.00,7.00,0.00,30.02,1016.30,10.00,null,FEW,BKN,null,null,1000.00,15000.00,null,null,null,null,null,null,null,null,null,70.00,KLAX 010553Z 25007KT 10SM FEW010 BKN150 21/18 A3002 RMK AO2 SLP163 T02110183 10244 20211 53012,null
LAX,2022-08-01 06:53,-118.3865,33.9382,32.00,70.00,64.90,83.86,230.00,6.00,0.00,30.03,1016.40,10.00,null,FEW,SCT,BKN,null,1000.00,11000.00,15000.00,null,null,null,null,null,null,null,null,70.00,KLAX 010653Z 23006KT 10SM FEW010 SCT110 BKN150 21/18 A3003 RMK AO2 SLP164 T02110183,null
LAX,2022-08-01 07:34,-118.3865,33.9382,32.00,71.10,64.90,80.78,null,5.00,0.00,30.03,null,10.00,null,FEW,FEW,SCT,BKN,600.00,1000.00,10000.00,15000.00,null,null,null,null,null,null,null,71.10,KLAX 010734Z VRB05KT 10SM FEW006 FEW010 SCT100 BKN150 22/18 A3003 RMK AO2 T02170183,null
LAX,2022-08-01 07:53,-118.3865,33.9382,32.00,70.00,64.90,83.86,250.00,4.00,0.00,30.03,1016.50,10.00,null,FEW,FEW,SCT,BKN,600.00,1000.00,10000.00,15000.00,null,null,null,null,null,null,null,70.00,KLAX 010753Z 25004KT 10SM FEW006 FEW010 SCT100 BKN150 21/18 A3003 RMK AO2 SLP165 T02110183 402670206,null
LAX,2022-08-01 08:53,-118.3865,33.9382,32.00,70.00,64.90,83.86,340.00,3.00,0.00,30.02,1016.20,10.00,null,FEW,FEW,SCT,BKN,600.00,1000.00,10000.00,15000.00,null,null,null,null,null,null,null,70.00,KLAX 010853Z 34003KT 10SM FEW006 FEW010 SCT100 BKN150 21/18 A3002 RMK AO2 SLP162 T02110183 58001,null
