station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LAX,2022-12-01 00:53,-118.3865,33.9382,32.00,57.90,48.90,71.90,210.00,5.00,0.00,29.97,1014.80,10.00,null,SCT,BKN,null,null,2700.00,3300.00,null,null,null,null,null,null,null,null,null,57.90,KLAX 010053Z COR 21005KT 10SM SCT027 BKN033 14/09 A2997 RMK AO2 SLP148 T01440094 $,null
LAX,2022-12-01 01:12,-118.3865,33.9382,32.00,57.90,48.00,69.52,180.00,6.00,0.00,29.97,null,10.00,null,BKN,null,null,null,2900.00,null,null,null,null,null,null,null,null,null,null,57.90,KLAX 010112Z 18006KT 10SM BKN029 14/09 A2997 RMK AO2 T01440089 $,null
LAX,2022-12-01 01:53,-118.3865,33.9382,32.00,57.90,48.00,69.52,210.00,4.00,0.00,29.98,1015.10,10.00,null,BKN,BKN,null,null,3400.00,4300.00,null,null,null,null,null,null,null,null,null,57.90,KLAX 010153Z 21004KT 10SM BKN034 BKN043 14/09 A2998 RMK AO2 SLP151 T01440089 $,null
LAX,2022-12-01 02:53,-118.3865,33.9382,32.00,57.00,48.00,71.81,190.00,4.00,0.00,29.98,1015.20,10.00,null,BKN,null,null,null,4300.00,null,null,null,null,null,null,null,null,null,null,57.00,KLAX 010253Z 19004KT 10SM BKN043 14/09 A2998 RMK AO2 SLP152 T01390089 51006 $,null
LAX,2022-12-01 03:53,-118.3865,33.9382,32.00,57.90,46.00,64.47,150.00,5.00,0.00,29.99,1015.60,10.00,null,BKN,null,null,null,3900.00,null,null,null,null,null,null,null,null,null,null,57.90,KLAX 010353Z 15005KT 10SM BKN039 14/08 A2999 RMK AO2 SLP156 T01440078 $,null
LAX,2022-12-01 04:53,-118.3865,33.9382,32.00,57.00,45.00,64.12,null,4.00,0.00,30.02,1016.30,10.00,null,SCT,OVC,null,null,3400.00,4100.00,null,null,null,null,null,null,null,null,null,57.00,KLAX 010453Z VRB04KT 10SM SCT034 OVC041 14/07 A3002 RMK AO2 SLP163 T01390072 $,null
LAX,2022-12-01 05:53,-118.3865,33.9382,32.00,57.00,45.00,64.12,120.00,3.00,0.00,30.02,1016.40,10.00,null,BKN,OVC,null,null,3600.00,4500.00,null,null,null,null,null,null,null,null,null,57.00,KLAX 010553Z 12003KT 10SM BKN036 OVC045 14/07 A3002 RMK AO2 SLP164 T01390072 10150 20139 51012 $,null
LAX,2022-12-01 06:53,-118.3865,33.9382,32.00,57.00,44.10,61.95,180.00,6.00,0.00,30.02,1016.60,10.00,null,FEW,BKN,BKN,null,2400.00,3000.00,4500.00,null,null,null,null,null,null,null,null,57.00,KLAX 010653Z 18006KT 10SM FEW024 BKN030 BKN045 14/07 A3002 RMK AO2 SLP166 T01390067 $,null
LAX,2022-12-01 07:53,-118.3865,33.9382,32.00,57.00,43.00,59.40,null,4.00,0.00,30.00,1015.60,10.00,null,FEW,FEW,BKN,null,2400.00,3000.00,3800.00,null,null,null,null,null,null,null,null,57.00,KLAX 010753Z VRB04KT 10SM FEW024 FEW030 BKN038 14/06 A3000 RMK AO2 SLP156 T01390061 401830094 $,null
LAX,2022-12-01 08:53,-118.3865,33.9382,32.00,57.00,43.00,59.40,150.00,6.00,0.00,30.00,1015.70,10.00,null,FEW,BKN,null,null,2400.00,4000.00,null,null,null,null,null,null,null,null,null,57.00,KLAX 010853Z 15006KT 10SM FEW024 BKN040 14/06 A3000 RMK AO2 SLP157 T01390061 58007 $,null
LAX,2022-12-01 09:53,-118.3865,33.9382,32.00,57.00,42.10,57.38,120.00,3.00,0.00,29.99,1015.60,10.00,null,FEW,BKN,null,null,2400.00,4000.00,null,null,null,null,null,null,null,null,null,57.00,KLAX 010953Z 12003KT 10SM FEW024 BKN040 14/06 A2999 RMK AO2 SLP156 T01390056 $,null
LAX,2022-12-01 10:53,-118.3865,33.9382,32.00,57.00,42.10,57.38,150.00,4.00,0.00,29.99,1015.60,10.00,null,FEW,BKN,null,null,2400.00,4200.00,null,null,null,null,null,null,null,null,null,57.00,KLAX 011053Z 15004KT 10SM FEW024 BKN042 14/06 A2999 RMK AO2 SLP156 T01390056 $,null
LAX,2022-12-01 11:53,-118.3865,33.9382,32.00,55.90,42.10,59.71,90.00,5.00,0.00,29.99,1015.50,10.00,null,FEW,BKN,null,null,2500.00,4200.00,null,null,null,null,null,null,null,null,null,55.90,KLAX 011153Z 09005KT 10SM FEW025 BKN042 13/06 A2999 RMK AO2 SLP155 T01330056 10139 20133 56002 $,null
LAX,2022-12-01 12:53,-118.3865,33.9382,32.00,55.90,44.10,64.47,90.00,3.00,0.00,30.00,1015.90,10.00,null,FEW,OVC,null,null,2500.00,4000.00,null,null,null,null,null,null,null,null,null,55.90,KLAX 011253Z 09003KT 10SM FEW025 OVC040 13/07 A3000 RMK AO2 SLP159 T01330067 $,null
LAX,2022-12-01 13:53,-118.3865,33.9382,32.00,55.90,44.10,64.47,130.00,4.00,0.00,30.02,1016.30,10.00,null,FEW,FEW,OVC,null,1200.00,2500.00,4000.00,null,null,null,null,null,null,null,null,55.90,KLAX 011353Z 13004KT 10SM FEW012 FEW025 OVC040 13/07 A3002 RMK AO2 SLP163 T01330067 $,null
LAX,2022-12-01 14:53,-118.3865,33.9382,32.00,55.90,48.00,74.72,170.00,4.00,0.00,30.04,1017.00,10.00,null,FEW,FEW,OVC,null,3600.00,4900.00,6000.00,null,null,null,null,null,null,null,null,55.90,KLAX 011453Z 17004KT 10SM FEW036 FEW049 OVC060 13/09 A3004 RMK AO2 CIG 036 RWY24 SLP170 T01330089 53015 $,null
LAX,2022-12-01 15:53,-118.3865,33.9382,32.00,57.00,46.90,68.90,100.00,4.00,0.00,30.05,1017.50,8.00,null,FEW,BKN,OVC,null,1700.00,3300.00,6000.00,null,null,null,null,null,null,null,null,57.00,KLAX 011553Z 10004KT 8SM FEW017 BKN033 OVC060 14/08 A3005 RMK AO2 SLP175 T01390083 $,null
LAX,2022-12-01 16:53,-118.3865,33.9382,32.00,57.90,46.90,66.70,140.00,7.00,0.00,30.06,1018.00,8.00,null,FEW,BKN,BKN,null,1800.00,3300.00,6000.00,null,null,null,null,null,null,null,null,57.90,KLAX 011653Z 14007KT 8SM FEW018 BKN033 BKN060 14/08 A3006 RMK AO2 SLP180 T01440083 $,null
LAX,2022-12-01 17:22,-118.3865,33.9382,32.00,57.00,48.00,71.83,200.00,4.00,0.00,30.07,null,9.00,null,SCT,BKN,OVC,null,2300.00,2800.00,3500.00,null,null,null,null,null,null,null,null,57.20,KLAX 011722Z 20004KT 9SM SCT023 BKN028 OVC035 14/09 A3007 RMK AO2 T01390089 $,null
LAX,2022-12-01 17:53,-118.3865,33.9382,32.00,57.90,48.00,69.52,170.00,5.00,0.00,30.07,1018.00,9.00,null,SCT,BKN,OVC,null,2800.00,3600.00,4400.00,null,null,null,null,null,null,null,null,57.90,KLAX 011753Z 17005KT 9SM SCT028 BKN036 OVC044 14/09 A3007 RMK AO2 SLP180 T01440089 10144 20133 51010 $,null
