station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LAX,2022-01-01 00:53,-118.3865,33.9382,32.00,57.00,48.90,74.27,280.00,12.00,0.00,29.71,1005.80,10.00,null,FEW,SCT,null,null,1500.00,3800.00,null,null,null,null,null,null,null,null,null,57.00,KLAX 010053Z 28012KT 10SM FEW015 SCT038 14/09 A2971 RMK AO2 SLP058 T01390094,null
LAX,2022-01-01 01:53,-118.3865,33.9382,32.00,55.90,48.90,77.28,null,4.00,0.00,29.71,1006.00,10.00,null,FEW,SCT,null,null,1200.00,3400.00,null,null,null,null,null,null,null,null,null,55.90,KLAX 010153Z VRB04KT 10SM FEW012 SCT034 13/09 A2971 RMK AO2 SLP060 T01330094,null
LAX,2022-01-01 02:53,-118.3865,33.9382,32.00,55.00,48.00,77.21,350.00,6.00,0.00,29.74,1007.10,10.00,null,SCT,SCT,null,null,1400.00,4900.00,null,null,null,null,null,null,null,null,null,55.00,KLAX 010253Z 35006KT 10SM SCT014 SCT049 13/09 A2974 RMK AO2 SLP071 T01280089 53014,null
LAX,2022-01-01 03:53,-118.3865,33.9382,32.00,54.00,41.00,61.32,360.00,4.00,0.00,29.76,1007.70,10.00,null,FEW,SCT,null,null,1300.00,4400.00,null,null,null,null,null,null,null,null,null,54.00,KLAX 010353Z 36004KT 10SM FEW013 SCT044 12/05 A2976 RMK AO2 SLP077 T01220050,null
LAX,2022-01-01 04:53,-118.3865,33.9382,32.00,54.00,37.00,52.45,null,5.00,0.00,29.79,1008.70,10.00,null,SCT,BKN,null,null,1300.00,3000.00,null,null,null,null,null,null,null,null,null,54.00,KLAX 010453Z VRB05KT 10SM SCT013 BKN030 12/03 A2979 RMK AO2 SLP087 T01220028,null
LAX,2022-01-01 05:53,-118.3865,33.9382,32.00,53.10,36.00,52.11,360.00,4.00,0.00,29.82,1009.70,10.00,null,FEW,SCT,null,null,1400.00,3800.00,null,null,null,null,null,null,null,null,null,53.10,KLAX 010553Z 36004KT 10SM FEW014 SCT038 12/02 A2982 RMK AO2 SLP097 T01170022 10139 20117 53026,null
LAX,2022-01-01 06:53,-118.3865,33.9382,32.00,54.00,37.00,52.45,20.00,9.00,0.00,29.85,1010.70,10.00,null,FEW,SCT,null,null,1500.00,3800.00,null,null,null,null,null,null,null,null,null,54.00,KLAX 010653Z 02009KT 10SM FEW015 SCT038 12/03 A2985 RMK AO2 SLP107 T01220028,null
LAX,2022-01-01 07:53,-118.3865,33.9382,32.00,54.00,33.10,44.92,20.00,6.00,0.00,29.87,1011.40,10.00,null,SCT,null,null,null,4800.00,null,null,null,null,null,null,null,null,null,null,54.00,KLAX 010753Z 02006KT 10SM SCT048 12/01 A2987 RMK AO2 SLP114 T01220006 401500083,null
LAX,2022-01-01 08:53,-118.3865,33.9382,32.00,52.00,36.00,54.26,10.00,6.00,0.00,29.89,1011.90,10.00,null,FEW,null,null,null,5000.00,null,null,null,null,null,null,null,null,null,null,52.00,KLAX 010853Z 01006KT 10SM FEW050 11/02 A2989 RMK AO2 SLP119 T01110022 51022,null
LAX,2022-01-01 09:17,-118.3865,33.9382,32.00,51.10,39.00,63.12,360.00,7.00,0.00,29.91,null,9.00,null,BKN,null,null,null,1700.00,null,null,null,null,null,null,null,null,null,null,51.10,KLAX 010917Z 36007KT 9SM BKN017 11/04 A2991 RMK AO2 T01060039,null
