station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LAX,2022-07-01 00:53,-118.3865,33.9382,32.00,71.10,62.10,73.22,250.00,14.00,0.00,29.95,1014.00,10.00,null,FEW,FEW,null,null,800.00,15000.00,null,null,null,null,null,null,null,null,null,71.10,KLAX 010053Z 25014KT 10SM FEW008 FEW150 22/17 A2995 RMK AO2 SLP140 T02170167,null
LAX,2022-07-01 01:53,-118.3865,33.9382,32.00,69.10,61.00,75.40,250.00,11.00,0.00,29.95,1013.90,10.00,null,FEW,FEW,null,null,800.00,15000.00,null,null,null,null,null,null,null,null,null,69.10,KLAX 010153Z 25011KT 10SM FEW008 FEW150 21/16 A2995 RMK AO2 SLP139 T02060161,null
LAX,2022-07-01 02:53,-118.3865,33.9382,32.00,66.90,60.10,78.77,260.00,11.00,0.00,29.95,1014.00,10.00,null,FEW,FEW,null,null,800.00,15000.00,null,null,null,null,null,null,null,null,null,66.90,KLAX 010253Z 26011KT 10SM FEW008 FEW150 19/16 A2995 RMK AO2 SLP140 T01940156 55003,null
LAX,2022-07-01 03:53,-118.3865,33.9382,32.00,66.00,61.00,83.91,250.00,9.00,0.00,29.96,1014.10,10.00,null,BKN,null,null,null,1000.00,null,null,null,null,null,null,null,null,null,null,66.00,KLAX 010353Z 25009KT 10SM BKN010 19/16 A2996 RMK AO2 SLP141 T01890161,null
LAX,2022-07-01 04:19,-118.3865,33.9382,32.00,66.00,61.00,83.91,240.00,7.00,0.00,29.96,null,10.00,null,SCT,null,null,null,1000.00,null,null,null,null,null,null,null,null,null,null,66.00,KLAX 010419Z 24007KT 10SM SCT010 19/16 A2996 RMK AO2 T01890161,null
LAX,2022-07-01 04:53,-118.3865,33.9382,32.00,64.90,60.10,84.44,240.00,6.00,0.00,29.97,1014.50,10.00,null,FEW,null,null,null,1000.00,null,null,null,null,null,null,null,null,null,null,64.90,KLAX 010453Z 24006KT 10SM FEW010 18/16 A2997 RMK AO2 SLP145 T01830156,null
LAX,2022-07-01 05:11,-118.3865,33.9382,32.00,66.00,60.10,81.27,230.00,4.00,0.00,29.97,null,10.00,null,FEW,FEW,null,null,800.00,1200.00,null,null,null,null,null,null,null,null,null,66.00,KLAX 010511Z 23004KT 10SM FEW008 FEW012 19/16 A2997 RMK AO2 T01890156,null
LAX,2022-07-01 05:53,-118.3865,33.9382,32.00,64.90,60.10,84.44,240.00,6.00,0.00,29.98,1014.90,10.00,null,FEW,FEW,null,null,800.00,1100.00,null,null,null,null,null,null,null,null,null,64.90,KLAX 010553Z 24006KT 10SM FEW008 FEW011 18/16 A2998 RMK AO2 SLP149 T01830156 10228 20183 53009,null
LAX,2022-07-01 06:53,-118.3865,33.9382,32.00,64.90,60.10,84.44,240.00,3.00,0.00,29.98,1015.00,10.00,null,FEW,FEW,null,null,800.00,1100.00,null,null,null,null,null,null,null,null,null,64.90,KLAX 010653Z 24003KT 10SM FEW008 FEW011 18/16 A2998 RMK AO2 SLP150 T01830156,null
LAX,2022-07-01 07:53,-118.3865,33.9382,32.00,64.90,59.00,81.19,240.00,4.00,0.00,29.98,1015.00,10.00,null,FEW,null,null,null,1200.00,null,null,null,null,null,null,null,null,null,null,64.90,KLAX 010753Z 24004KT 10SM FEW012 18/15 A2998 RMK AO2 SLP150 T01830150 402440178,null
LAX,2022-07-01 08:50,-118.3865,33.9382,32.00,64.40,59.00,82.62,250.00,5.00,0.00,29.98,null,10.00,null,FEW,FEW,null,null,600.00,1200.00,null,null,null,null,null,null,null,null,null,64.40,KLAX 010850Z 25005KT 10SM FEW006 FEW012 18/15 A2998 RMK AO2,null
LAX,2022-07-01 08:53,-118.3865,33.9382,32.00,64.90,60.10,84.44,250.00,5.00,0.00,29.98,1014.80,10.00,null,FEW,FEW,null,null,600.00,1200.00,null,null,null,null,null,null,null,null,null,64.90,KLAX 010853Z 25005KT 10SM FEW006 FEW012 18/16 A2998 RMK AO2 SLP148 T01830156 50000,null
LAX,2022-07-01 09:37,-118.3865,33.9382,32.00,64.90,61.00,87.18,210.00,4.00,0.00,29.98,null,10.00,null,FEW,BKN,null,null,600.00,900.00,null,null,null,null,null,null,null,null,null,64.90,KLAX 010937Z 21004KT 10SM FEW006 BKN009 18/16 A2998 RMK AO2 T01830161,null
LAX,2022-07-01 09:53,-118.3865,33.9382,32.00,64.90,61.00,87.18,250.00,4.00,0.00,29.98,1015.00,10.00,null,FEW,BKN,null,null,600.00,900.00,null,null,null,null,null,null,null,null,null,64.90,KLAX 010953Z 25004KT 10SM FEW006 BKN009 18/16 A2998 RMK AO2 SLP150 T01830161,null
LAX,2022-07-01 10:53,-118.3865,33.9382,32.00,64.90,61.00,87.18,0.00,0.00,0.00,29.98,1015.00,10.00,null,FEW,BKN,null,null,600.00,900.00,null,null,null,null,null,null,null,null,null,64.90,KLAX 011053Z 00000KT 10SM FEW006 BKN009 18/16 A2998 RMK AO2 SLP150 T01830161,null
LAX,2022-07-01 11:53,-118.3865,33.9382,32.00,64.90,60.10,84.44,0.00,0.00,0.00,29.98,1014.90,10.00,null,FEW,SCT,null,null,700.00,900.00,null,null,null,null,null,null,null,null,null,64.90,KLAX 011153Z 00000KT 10SM FEW007 SCT009 18/16 A2998 RMK AO2 SLP149 T01830156 10189 20183 51001,null
