station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LAX,2022-06-01 00:53,-118.3865,33.9382,32.00,69.10,57.90,67.50,260.00,12.00,0.00,29.81,1009.40,10.00,null,FEW,null,null,null,1000.00,null,null,null,null,null,null,null,null,null,null,69.10,KLAX 010053Z 26012KT 10SM FEW010 21/14 A2981 RMK AO2 SLP094 T02060144,null
LAX,2022-06-01 01:53,-118.3865,33.9382,32.00,64.90,57.00,75.56,250.00,11.00,0.00,29.82,1009.60,10.00,null,FEW,null,null,null,1500.00,null,null,null,null,null,null,null,null,null,null,64.90,KLAX 010153Z 25011KT 10SM FEW015 18/14 A2982 RMK AO2 SLP096 T01830139,null
LAX,2022-06-01 02:53,-118.3865,33.9382,32.00,64.00,55.00,72.52,240.00,7.00,0.00,29.82,1009.80,10.00,null,FEW,null,null,null,1500.00,null,null,null,null,null,null,null,null,null,null,64.00,KLAX 010253Z 24007KT 10SM FEW015 18/13 A2982 RMK AO2 SLP098 T01780128 53003,null
LAX,2022-06-01 03:53,-118.3865,33.9382,32.00,63.00,55.00,75.11,260.00,4.00,0.00,29.83,1009.90,10.00,null,FEW,null,null,null,1500.00,null,null,null,null,null,null,null,null,null,null,63.00,KLAX 010353Z 26004KT 10SM FEW015 17/13 A2983 RMK AO2 SLP099 T01720128,null
LAX,2022-06-01 04:53,-118.3865,33.9382,32.00,63.00,55.00,75.11,null,3.00,0.00,29.84,1010.30,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,63.00,KLAX 010453Z VRB03KT 10SM CLR 17/13 A2984 RMK AO2 SLP103 T01720128,null
LAX,2022-06-01 05:53,-118.3865,33.9382,32.00,63.00,55.00,75.11,null,3.00,0.00,29.85,1010.60,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,63.00,KLAX 010553Z VRB03KT 10SM CLR 17/13 A2985 RMK AO2 SLP106 T01720128 10211 20172 53009,null
LAX,2022-06-01 06:53,-118.3865,33.9382,32.00,62.10,55.00,77.53,220.00,4.00,0.00,29.85,1010.60,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,62.10,KLAX 010653Z 22004KT 10SM CLR 17/13 A2985 RMK AO2 SLP106 T01670128,null
LAX,2022-06-01 07:53,-118.3865,33.9382,32.00,61.00,55.90,83.29,230.00,4.00,0.00,29.85,1010.50,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,61.00,KLAX 010753Z 23004KT 10SM CLR 16/13 A2985 RMK AO2 SLP105 T01610133 402170144,null
LAX,2022-06-01 08:53,-118.3865,33.9382,32.00,62.10,55.90,80.11,240.00,3.00,0.00,29.84,1010.40,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,62.10,KLAX 010853Z 24003KT 10SM CLR 17/13 A2984 RMK AO2 SLP104 T01670133 58002,null
LAX,2022-06-01 09:53,-118.3865,33.9382,32.00,61.00,55.90,83.29,260.00,3.00,0.00,29.84,1010.40,10.00,null,FEW,null,null,null,800.00,null,null,null,null,null,null,null,null,null,null,61.00,KLAX 010953Z 26003KT 10SM FEW008 16/13 A2984 RMK AO2 SLP104 T01610133,null
