station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LAX,2022-03-01 00:53,-118.3865,33.9382,32.00,72.00,45.00,37.96,270.00,5.00,0.00,30.01,1016.40,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72.00,KLAX 010053Z 27005KT 10SM CLR 22/07 A3001 RMK AO2 SLP164 T02220072,null
LAX,2022-03-01 01:53,-118.3865,33.9382,32.00,66.90,48.00,50.62,190.00,5.00,0.00,30.02,1016.50,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,66.90,KLAX 010153Z 19005KT 10SM CLR 19/09 A3002 RMK AO2 SLP165 T01940089,null
LAX,2022-03-01 02:53,-118.3865,33.9382,32.00,64.00,48.90,57.91,250.00,3.00,0.00,30.03,1016.90,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,64.00,KLAX 010253Z 25003KT 10SM CLR 18/09 A3003 RMK AO2 SLP169 T01780094 53002,null
LAX,2022-03-01 03:53,-118.3865,33.9382,32.00,62.10,46.90,57.43,270.00,3.00,0.00,30.05,1017.30,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,62.10,KLAX 010353Z 27003KT 10SM CLR 17/08 A3005 RMK AO2 SLP173 T01670083,null
LAX,2022-03-01 04:53,-118.3865,33.9382,32.00,63.00,46.90,55.64,0.00,0.00,0.00,30.06,1017.80,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,63.00,KLAX 010453Z 00000KT 10SM CLR 17/08 A3006 RMK AO2 SLP178 T01720083,null
LAX,2022-03-01 05:53,-118.3865,33.9382,32.00,66.00,37.00,34.21,null,3.00,0.00,30.07,1017.90,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,66.00,KLAX 010553Z VRB03KT 10SM CLR 19/03 A3007 RMK AO2 SLP179 T01890028 10250 20167 51013,null
LAX,2022-03-01 06:53,-118.3865,33.9382,32.00,64.90,36.00,34.17,130.00,5.00,0.00,30.07,1017.80,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,64.90,KLAX 010653Z 13005KT 10SM CLR 18/02 A3007 RMK AO2 SLP178 T01830022,null
LAX,2022-03-01 07:53,-118.3865,33.9382,32.00,59.00,43.00,55.28,100.00,6.00,0.00,30.06,1017.50,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,59.00,KLAX 010753Z 10006KT 10SM CLR 15/06 A3006 RMK AO2 SLP175 T01500061 402780094,null
LAX,2022-03-01 08:53,-118.3865,33.9382,32.00,57.90,39.00,49.26,110.00,6.00,0.00,30.06,1017.50,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,57.90,KLAX 010853Z 11006KT 10SM CLR 14/04 A3006 RMK AO2 SLP175 T01440039 58004,null
LAX,2022-03-01 09:53,-118.3865,33.9382,32.00,57.90,34.00,40.43,250.00,9.00,0.00,30.07,1018.00,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,57.90,KLAX 010953Z 25009KT 10SM CLR 14/01 A3007 RMK AO2 SLP180 T01440011,null
LAX,2022-03-01 10:53,-118.3865,33.9382,32.00,60.10,46.00,59.59,0.00,0.00,0.00,30.06,1017.40,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,60.10,KLAX 011053Z 00000KT 10SM CLR 16/08 A3006 RMK AO2 SLP174 T01560078,null
LAX,2022-03-01 11:53,-118.3865,33.9382,32.00,55.90,42.10,59.71,40.00,3.00,0.00,30.05,1017.30,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55.90,KLAX 011153Z 04003KT 10SM CLR 13/06 A3005 RMK AO2 SLP173 T01330056 10217 20122 58002,null
LAX,2022-03-01 12:53,-118.3865,33.9382,32.00,54.00,37.00,52.45,0.00,0.00,0.00,30.06,1017.70,10.00,null,FEW,null,null,null,1500.00,null,null,null,null,null,null,null,null,null,null,54.00,KLAX 011253Z 00000KT 10SM FEW015 12/03 A3006 RMK AO2 SLP177 T01220028,null
LAX,2022-03-01 13:53,-118.3865,33.9382,32.00,53.10,37.90,56.17,0.00,0.00,0.00,30.06,1017.80,10.00,null,FEW,null,null,null,1100.00,null,null,null,null,null,null,null,null,null,null,53.10,KLAX 011353Z 00000KT 10SM FEW011 12/03 A3006 RMK AO2 SLP178 FU FEW011 T01170033,null
LAX,2022-03-01 14:53,-118.3865,33.9382,32.00,57.00,33.10,40.28,50.00,4.00,0.00,30.07,1017.90,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,57.00,KLAX 011453Z 05004KT 10SM CLR 14/01 A3007 RMK AO2 SLP179 T01390006 51005,null
LAX,2022-03-01 15:53,-118.3865,33.9382,32.00,62.10,30.90,30.73,120.00,4.00,0.00,30.08,1018.40,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,62.10,KLAX 011553Z 12004KT 10SM CLR 17/M01 A3008 RMK AO2 SLP184 T01671006,null
LAX,2022-03-01 16:53,-118.3865,33.9382,32.00,69.10,28.90,22.21,0.00,0.00,0.00,30.08,1018.60,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,69.10,KLAX 011653Z 00000KT 10SM CLR 21/M02 A3008 RMK AO2 SLP186 T02061017,null
LAX,2022-03-01 17:53,-118.3865,33.9382,32.00,77.00,21.90,12.72,80.00,4.00,0.00,30.07,1018.10,10.00,null,FEW,null,null,null,25000.00,null,null,null,null,null,null,null,null,null,null,77.00,KLAX 011753Z 08004KT 10SM FEW250 25/M06 A3007 RMK AO2 SLP181 T02501056 10250 20106 50003,null
LAX,2022-03-01 18:53,-118.3865,33.9382,32.00,80.10,24.10,12.60,0.00,0.00,0.00,30.07,1018.20,10.00,null,FEW,null,null,null,25000.00,null,null,null,null,null,null,null,null,null,null,78.37,KLAX 011853Z 00000KT 10SM FEW250 27/M04 A3007 RMK AO2 SLP182 T02671044,null
LAX,2022-03-01 19:20,-118.3865,33.9382,32.00,73.40,42.80,33.29,250.00,12.00,0.00,30.07,null,10.00,null,FEW,null,null,null,25000.00,null,null,null,null,null,null,null,null,null,null,73.40,KLAX 011920Z 25012KT 10SM FEW250 23/06 A3007,null
LAX,2022-03-01 19:53,-118.3865,33.9382,32.00,72.00,50.00,45.81,260.00,13.00,0.00,30.07,1018.10,10.00,null,FEW,null,null,null,28000.00,null,null,null,null,null,null,null,null,null,null,72.00,KLAX 011953Z 26013KT 10SM FEW280 22/10 A3007 RMK AO2 SLP181 T02220100,null
LAX,2022-03-01 20:53,-118.3865,33.9382,32.00,71.10,48.90,45.33,250.00,10.00,0.00,30.04,1017.20,10.00,null,FEW,FEW,null,null,22000.00,28000.00,null,null,null,null,null,null,null,null,null,71.10,KLAX 012053Z 25010KT 10SM FEW220 FEW280 22/09 A3004 RMK AO2 SLP172 T02170094 58010,null
LAX,2022-03-01 21:53,-118.3865,33.9382,32.00,73.00,42.10,32.84,240.00,12.00,0.00,30.02,1016.40,10.00,null,FEW,null,null,null,28000.00,null,null,null,null,null,null,null,null,null,null,73.00,KLAX 012153Z 24012KT 10SM FEW280 23/06 A3002 RMK AO2 SLP164 T02280056,null
