station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LAX,2022-05-01 00:53,-118.3865,33.9382,32.00,63.00,53.10,70.07,260.00,9.00,0.00,29.84,1010.40,10.00,null,FEW,null,null,null,1000.00,null,null,null,null,null,null,null,null,null,null,63.00,KLAX 010053Z 26009KT 10SM FEW010 17/12 A2984 RMK AO2 SLP104 T01720117,null
LAX,2022-05-01 01:53,-118.3865,33.9382,32.00,64.00,50.00,60.34,240.00,4.00,0.00,29.83,1009.90,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,64.00,KLAX 010153Z 24004KT 10SM CLR 18/10 A2983 RMK AO2 SLP099 T01780100,null
LAX,2022-05-01 02:53,-118.3865,33.9382,32.00,61.00,52.00,72.22,260.00,7.00,0.00,29.84,1010.10,10.00,null,FEW,null,null,null,1000.00,null,null,null,null,null,null,null,null,null,null,61.00,KLAX 010253Z 26007KT 10SM FEW010 16/11 A2984 RMK AO2 SLP101 T01610111 55003,null
LAX,2022-05-01 03:53,-118.3865,33.9382,32.00,60.10,51.10,72.13,240.00,4.00,0.00,29.84,1010.30,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,60.10,KLAX 010353Z 24004KT 10SM CLR 16/11 A2984 RMK AO2 SLP103 T01560106,null
LAX,2022-05-01 04:53,-118.3865,33.9382,32.00,61.00,53.10,75.20,0.00,0.00,0.00,29.85,1010.80,10.00,null,FEW,null,null,null,1000.00,null,null,null,null,null,null,null,null,null,null,61.00,KLAX 010453Z 00000KT 10SM FEW010 16/12 A2985 RMK AO2 SLP108 T01610117,null
LAX,2022-05-01 05:53,-118.3865,33.9382,32.00,61.00,53.10,75.20,0.00,0.00,0.00,29.85,1010.50,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,61.00,KLAX 010553Z 00000KT 10SM CLR 16/12 A2985 RMK AO2 SLP105 T01610117 10194 20156 50004,null
LAX,2022-05-01 06:53,-118.3865,33.9382,32.00,60.10,52.00,74.57,10.00,3.00,0.00,29.85,1010.60,9.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,60.10,KLAX 010653Z 01003KT 9SM CLR 16/11 A2985 RMK AO2 SLP106 T01560111,null
LAX,2022-05-01 07:53,-118.3865,33.9382,32.00,60.10,52.00,74.57,360.00,4.00,0.00,29.85,1010.50,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,60.10,KLAX 010753Z 36004KT 10SM CLR 16/11 A2985 RMK AO2 SLP105 T01560111 402060133,null
LAX,2022-05-01 08:53,-118.3865,33.9382,32.00,57.90,51.10,78.03,90.00,4.00,0.00,29.83,1009.80,10.00,null,FEW,null,null,null,1200.00,null,null,null,null,null,null,null,null,null,null,57.90,KLAX 010853Z 09004KT 10SM FEW012 14/11 A2983 RMK AO2 SLP098 T01440106 58007,null
LAX,2022-05-01 09:53,-118.3865,33.9382,32.00,57.90,54.00,86.82,80.00,4.00,0.00,29.81,1009.40,6.00,null,SCT,null,null,null,1200.00,null,null,null,BR,null,null,null,null,null,null,57.90,KLAX 010953Z 08004KT 6SM BR SCT012 14/12 A2981 RMK AO2 SLP094 T01440122,null
LAX,2022-05-01 10:53,-118.3865,33.9382,32.00,57.90,54.00,86.82,70.00,3.00,0.00,29.81,1009.10,6.00,null,FEW,null,null,null,1000.00,null,null,null,BR,null,null,null,null,null,null,57.90,KLAX 011053Z 07003KT 6SM BR FEW010 14/12 A2981 RMK AO2 SLP091 T01440122,null
LAX,2022-05-01 11:53,-118.3865,33.9382,32.00,57.90,54.00,86.82,0.00,0.00,0.00,29.80,1008.90,6.00,null,SCT,null,null,null,1200.00,null,null,null,BR,null,null,null,null,null,null,57.90,KLAX 011153Z 00000KT 6SM BR SCT012 14/12 A2980 RMK AO2 SLP089 T01440122 10161 20139 56008,null
LAX,2022-05-01 12:33,-118.3865,33.9382,32.00,57.90,54.00,86.82,0.00,0.00,0.00,29.80,null,6.00,null,BKN,null,null,null,1300.00,null,null,null,BR,null,null,null,null,null,null,57.90,KLAX 011233Z 00000KT 6SM BR BKN013 14/12 A2980 RMK AO2 T01440122,null
LAX,2022-05-01 12:53,-118.3865,33.9382,32.00,59.00,54.00,83.46,0.00,0.00,0.00,29.80,1009.00,6.00,null,OVC,null,null,null,1300.00,null,null,null,BR,null,null,null,null,null,null,59.00,KLAX 011253Z 00000KT 6SM BR OVC013 15/12 A2980 RMK AO2 SLP090 T01500122,null
LAX,2022-05-01 13:53,-118.3865,33.9382,32.00,59.00,53.10,80.75,80.00,4.00,0.00,29.82,1009.70,9.00,null,BKN,null,null,null,1300.00,null,null,null,null,null,null,null,null,null,null,59.00,KLAX 011353Z 08004KT 9SM BKN013 15/12 A2982 RMK AO2 SLP097 T01500117,null
LAX,2022-05-01 14:28,-118.3865,33.9382,32.00,60.10,54.00,80.25,130.00,5.00,0.00,29.83,null,9.00,null,BKN,null,null,null,1500.00,null,null,null,null,null,null,null,null,null,null,60.10,KLAX 011428Z 13005KT 9SM BKN015 16/12 A2983 RMK AO2 T01560122,null
LAX,2022-05-01 14:53,-118.3865,33.9382,32.00,61.00,53.10,75.20,160.00,3.00,0.00,29.83,1009.90,10.00,null,BKN,null,null,null,1600.00,null,null,null,null,null,null,null,null,null,null,61.00,KLAX 011453Z 16003KT 10SM BKN016 16/12 A2983 RMK AO2 SLP099 T01610117 53010,null
