station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LAX,2022-11-01 00:53,-118.3865,33.9382,32.00,64.90,61.00,87.18,260.00,9.00,0.00,29.85,1010.50,10.00,null,FEW,SCT,BKN,null,1000.00,15000.00,20000.00,null,null,null,null,null,null,null,null,64.90,KLAX 010053Z 26009KT 10SM FEW010 SCT150 BKN200 18/16 A2985 RMK AO2 SLP105 T01830161 VISNO RWY24 $,null
LAX,2022-11-01 01:53,-118.3865,33.9382,32.00,64.90,62.10,90.64,250.00,7.00,0.00,29.85,1010.80,10.00,null,FEW,BKN,BKN,null,1000.00,15000.00,20000.00,null,null,null,null,null,null,null,null,64.90,KLAX 010153Z 25007KT 10SM FEW010 BKN150 BKN200 18/17 A2985 RMK AO2 SLP108 T01830167 VISNO RWY24 $,null
LAX,2022-11-01 02:53,-118.3865,33.9382,32.00,64.90,62.10,90.64,280.00,6.00,0.00,29.85,1010.70,10.00,null,FEW,BKN,BKN,null,1000.00,15000.00,20000.00,null,null,null,null,null,null,null,null,64.90,KLAX 010253Z 28006KT 10SM FEW010 BKN150 BKN200 18/17 A2985 RMK AO2 SLP107 T01830167 50004 VISNO RWY24 $,null
LAX,2022-11-01 03:53,-118.3865,33.9382,32.00,64.90,61.00,87.18,360.00,4.00,0.00,29.85,1010.80,8.00,null,FEW,BKN,BKN,null,1000.00,15000.00,20000.00,null,null,null,null,null,null,null,null,64.90,KLAX 010353Z 36004KT 8SM FEW010 BKN150 BKN200 18/16 A2985 RMK AO2 SLP108 T01830161 VISNO RWY24 $,null
LAX,2022-11-01 04:53,-118.3865,33.9382,32.00,64.00,61.00,89.97,130.00,3.00,0.00,29.87,1011.20,6.00,null,FEW,FEW,BKN,BKN,600.00,1000.00,15000.00,20000.00,BR,null,null,null,null,null,null,64.00,KLAX 010453Z 13003KT 6SM BR FEW006 FEW010 BKN150 BKN200 18/16 A2987 RMK AO2 SLP112 T01780161 VISNO RWY24 $,null
LAX,2022-11-01 05:53,-118.3865,33.9382,32.00,64.00,61.00,89.97,0.00,0.00,0.00,29.88,1011.60,6.00,null,FEW,FEW,BKN,BKN,600.00,900.00,15000.00,20000.00,BR,null,null,null,null,null,null,64.00,KLAX 010553Z 00000KT 6SM BR FEW006 FEW009 BKN150 BKN200 18/16 A2988 RMK AO2 SLP116 T01780161 10194 20178 53010 VISNO RWY24 $,null
LAX,2022-11-01 06:53,-118.3865,33.9382,32.00,64.00,61.00,89.97,60.00,3.00,0.00,29.87,1011.30,6.00,null,FEW,FEW,BKN,null,600.00,900.00,15000.00,null,BR,null,null,null,null,null,null,64.00,KLAX 010653Z 06003KT 6SM BR FEW006 FEW009 BKN150 18/16 A2987 RMK AO2 SLP113 T01780161 VISNO RWY24 $,null
LAX,2022-11-01 07:53,-118.3865,33.9382,32.00,64.00,61.00,89.97,170.00,4.00,0.00,29.88,1011.60,6.00,null,SCT,SCT,BKN,null,600.00,900.00,15000.00,null,BR,null,null,null,null,null,null,64.00,KLAX 010753Z 17004KT 6SM BR SCT006 SCT009 BKN150 18/16 A2988 RMK AO2 SLP116 T01780161 402390133 VISNO RWY24 $,null
LAX,2022-11-01 07:59,-118.3865,33.9382,32.00,64.00,61.00,89.97,260.00,3.00,0.00,29.88,null,6.00,null,OVC,null,null,null,600.00,null,null,null,BR,null,null,null,null,null,null,64.00,KLAX 010759Z 26003KT 6SM BR OVC006 18/16 A2988 RMK AO2 T01780161 CHINO RWY24 VISNO RWY24 $,null
LAX,2022-11-01 08:53,-118.3865,33.9382,32.00,64.00,61.00,89.97,0.00,0.00,0.00,29.88,1011.60,5.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,64.00,KLAX 010853Z 00000KT 5SM OVC006 18/16 A2988 RMK AO2 SLP116 T01780161 56000 VISNO RWY24 $,null
