station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LAX,2022-10-01 00:53,-118.3865,33.9382,32.00,70.00,61.00,73.11,260.00,8.00,0.00,29.81,1009.10,10.00,null,FEW,null,null,null,1200.00,null,null,null,null,null,null,null,null,null,null,70.00,KLAX 010053Z 26008KT 10SM FEW012 21/16 A2981 RMK AO2 SLP091 T02110161,null
LAX,2022-10-01 01:53,-118.3865,33.9382,32.00,68.00,61.00,78.30,240.00,9.00,0.00,29.81,1009.10,10.00,null,FEW,null,null,null,1100.00,null,null,null,null,null,null,null,null,null,null,68.00,KLAX 010153Z 24009KT 10SM FEW011 20/16 A2981 RMK AO2 SLP091 T02000161,null
LAX,2022-10-01 02:53,-118.3865,33.9382,32.00,66.90,61.00,81.33,250.00,7.00,0.00,29.81,1009.30,10.00,null,SCT,null,null,null,1300.00,null,null,null,null,null,null,null,null,null,null,66.90,KLAX 010253Z 25007KT 10SM SCT013 19/16 A2981 RMK AO2 SLP093 T01940161 55000,null
LAX,2022-10-01 03:53,-118.3865,33.9382,32.00,68.00,63.00,84.03,270.00,5.00,0.00,29.83,1009.90,10.00,null,BKN,null,null,null,1300.00,null,null,null,null,null,null,null,null,null,null,68.00,KLAX 010353Z 27005KT 10SM BKN013 20/17 A2983 RMK AO2 SLP099 T02000172,null
LAX,2022-10-01 04:29,-118.3865,33.9382,32.00,68.00,63.00,84.03,250.00,4.00,0.00,29.84,null,10.00,null,FEW,BKN,null,null,1400.00,1700.00,null,null,null,null,null,null,null,null,null,68.00,KLAX 010429Z 25004KT 10SM FEW014 BKN017 20/17 A2984 RMK AO2 T02000172,null
LAX,2022-10-01 04:53,-118.3865,33.9382,32.00,69.10,62.10,78.39,350.00,3.00,0.00,29.84,1010.20,10.00,null,BKN,null,null,null,1600.00,null,null,null,null,null,null,null,null,null,null,69.10,KLAX 010453Z 35003KT 10SM BKN016 21/17 A2984 RMK AO2 SLP102 T02060167,null
LAX,2022-10-01 05:53,-118.3865,33.9382,32.00,69.10,62.10,78.39,150.00,5.00,0.00,29.85,1010.40,9.00,null,BKN,null,null,null,1600.00,null,null,null,null,null,null,null,null,null,null,69.10,KLAX 010553Z 15005KT 9SM BKN016 21/17 A2985 RMK AO2 SLP104 T02060167 10217 20194 51012,null
LAX,2022-10-01 06:53,-118.3865,33.9382,32.00,68.00,62.10,81.41,150.00,4.00,0.00,29.85,1010.60,10.00,null,FEW,BKN,null,null,1600.00,2400.00,null,null,null,null,null,null,null,null,null,68.00,KLAX 010653Z 15004KT 10SM FEW016 BKN024 20/17 A2985 RMK AO2 SLP106 T02000167,null
LAX,2022-10-01 07:53,-118.3865,33.9382,32.00,69.10,60.10,73.03,0.00,0.00,0.00,29.85,1010.40,10.00,null,FEW,BKN,null,null,1900.00,2400.00,null,null,null,null,null,null,null,null,null,69.10,KLAX 010753Z 00000KT 10SM FEW019 BKN024 21/16 A2985 RMK AO2 SLP104 T02060156 402440194,null
LAX,2022-10-01 08:53,-118.3865,33.9382,32.00,69.10,59.00,70.21,140.00,5.00,0.00,29.85,1010.60,10.00,null,BKN,null,null,null,2200.00,null,null,null,null,null,null,null,null,null,null,69.10,KLAX 010853Z 14005KT 10SM BKN022 21/15 A2985 RMK AO2 SLP106 T02060150 52002,null
LAX,2022-10-01 09:53,-118.3865,33.9382,32.00,68.00,57.90,70.10,150.00,5.00,0.00,29.86,1010.70,10.00,null,BKN,null,null,null,2600.00,null,null,null,null,null,null,null,null,null,null,68.00,KLAX 010953Z 15005KT 10SM BKN026 20/14 A2986 RMK AO2 SLP107 T02000144,null
LAX,2022-10-01 10:53,-118.3865,33.9382,32.00,66.90,57.00,70.49,0.00,0.00,0.00,29.85,1010.50,10.00,null,BKN,null,null,null,2600.00,null,null,null,null,null,null,null,null,null,null,66.90,KLAX 011053Z 00000KT 10SM BKN026 19/14 A2985 RMK AO2 SLP105 T01940139,null
LAX,2022-10-01 11:53,-118.3865,33.9382,32.00,68.00,57.00,67.86,60.00,4.00,0.00,29.85,1010.50,10.00,null,OVC,null,null,null,2600.00,null,null,null,null,null,null,null,null,null,null,68.00,KLAX 011153Z 06004KT 10SM OVC026 20/14 A2985 RMK AO2 SLP105 T02000139 10206 20194 58001,null
LAX,2022-10-01 12:53,-118.3865,33.9382,32.00,66.90,57.00,70.49,150.00,5.00,0.00,29.85,1010.50,10.00,null,BKN,null,null,null,2600.00,null,null,null,null,null,null,null,null,null,null,66.90,KLAX 011253Z 15005KT 10SM BKN026 19/14 A2985 RMK AO2 SLP105 T01940139,null
LAX,2022-10-01 13:53,-118.3865,33.9382,32.00,66.90,57.00,70.49,150.00,6.00,0.00,29.86,1011.10,10.00,null,OVC,null,null,null,2600.00,null,null,null,null,null,null,null,null,null,null,66.90,KLAX 011353Z 15006KT 10SM OVC026 19/14 A2986 RMK AO2 SLP111 T01940139,null
LAX,2022-10-01 14:53,-118.3865,33.9382,32.00,66.90,57.00,70.49,null,4.00,0.00,29.88,1011.50,10.00,null,OVC,null,null,null,2500.00,null,null,null,null,null,null,null,null,null,null,66.90,KLAX 011453Z VRB04KT 10SM OVC025 19/14 A2988 RMK AO2 SLP115 T01940139 53009,null
LAX,2022-10-01 15:53,-118.3865,33.9382,32.00,66.90,57.00,70.49,100.00,6.00,0.00,29.89,1012.00,10.00,null,OVC,null,null,null,2400.00,null,null,null,null,null,null,null,null,null,null,66.90,KLAX 011553Z 10006KT 10SM OVC024 19/14 A2989 RMK AO2 SLP120 T01940139,null
LAX,2022-10-01 16:53,-118.3865,33.9382,32.00,68.00,57.00,67.86,100.00,4.00,0.00,29.90,1012.20,10.00,null,OVC,null,null,null,2400.00,null,null,null,null,null,null,null,null,null,null,68.00,KLAX 011653Z 10004KT 10SM OVC024 20/14 A2990 RMK AO2 SLP122 T02000139,null
LAX,2022-10-01 17:53,-118.3865,33.9382,32.00,71.10,57.00,61.04,150.00,6.00,0.00,29.90,1012.10,10.00,null,BKN,null,null,null,2400.00,null,null,null,null,null,null,null,null,null,null,71.10,KLAX 011753Z 15006KT 10SM BKN024 22/14 A2990 RMK AO2 SLP121 T02170139 10217 20194 50007,null
LAX,2022-10-01 18:23,-118.3865,33.9382,32.00,73.00,57.00,57.23,140.00,6.00,0.00,29.89,null,10.00,null,SCT,null,null,null,2800.00,null,null,null,null,null,null,null,null,null,null,73.00,KLAX 011823Z 14006KT 10SM SCT028 23/14 A2989 RMK AO2 T02280139,null
LAX,2022-10-01 18:53,-118.3865,33.9382,32.00,73.00,57.00,57.23,0.00,0.00,0.00,29.88,1011.70,10.00,null,SCT,null,null,null,2900.00,null,null,null,null,null,null,null,null,null,null,73.00,KLAX 011853Z 00000KT 10SM SCT029 23/14 A2988 RMK AO2 SLP117 T02280139,null
