station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LAX,2022-09-01 00:53,-118.3865,33.9382,32.00,81.00,57.00,43.90,250.00,12.00,0.00,29.74,1007.00,10.00,null,FEW,FEW,null,null,5000.00,10000.00,null,null,null,null,null,null,null,null,null,81.05,KLAX 010053Z 25012KT 10SM FEW050 FEW100 27/14 A2974 RMK AO2 SLP070 FU FEW050 T02720139,null
LAX,2022-09-01 01:53,-118.3865,33.9382,32.00,79.00,57.90,48.41,260.00,10.00,0.00,29.73,1006.70,10.00,null,FEW,FEW,null,null,5000.00,15000.00,null,null,null,null,null,null,null,null,null,79.00,KLAX 010153Z 26010KT 10SM FEW050 FEW150 26/14 A2973 RMK AO2 SLP067 FU FEW050 T02610144,null
LAX,2022-09-01 02:53,-118.3865,33.9382,32.00,75.90,57.90,53.64,250.00,9.00,0.00,29.73,1006.50,10.00,null,FEW,FEW,null,null,5000.00,15000.00,null,null,null,null,null,null,null,null,null,75.90,KLAX 010253Z 25009KT 10SM FEW050 FEW150 24/14 A2973 RMK AO2 SLP065 FU FEW050 T02440144 56008,null
LAX,2022-09-01 03:53,-118.3865,33.9382,32.00,73.90,59.00,59.66,230.00,5.00,0.00,29.74,1006.90,10.00,null,FEW,null,null,null,15000.00,null,null,null,null,null,null,null,null,null,null,73.90,KLAX 010353Z 23005KT 10SM FEW150 23/15 A2974 RMK AO2 SLP069 T02330150,null
LAX,2022-09-01 04:53,-118.3865,33.9382,32.00,75.90,59.00,55.80,250.00,5.00,0.00,29.74,1006.90,10.00,null,SCT,null,null,null,15000.00,null,null,null,null,null,null,null,null,null,null,75.90,KLAX 010453Z 25005KT 10SM SCT150 24/15 A2974 RMK AO2 SLP069 T02440150,null
LAX,2022-09-01 05:53,-118.3865,33.9382,32.00,75.00,60.10,59.81,100.00,5.00,0.00,29.75,1006.90,10.00,null,BKN,null,null,null,15000.00,null,null,null,null,null,null,null,null,null,null,75.00,KLAX 010553Z 10005KT 10SM BKN150 24/16 A2975 RMK AO2 SLP069 T02390156 10289 20233 51005,null
LAX,2022-09-01 06:53,-118.3865,33.9382,32.00,75.00,59.00,57.50,110.00,4.00,0.00,29.76,1007.40,10.00,null,BKN,null,null,null,15000.00,null,null,null,null,null,null,null,null,null,null,75.00,KLAX 010653Z 11004KT 10SM BKN150 24/15 A2976 RMK AO2 SLP074 T02390150,null
LAX,2022-09-01 07:53,-118.3865,33.9382,32.00,75.00,60.10,59.81,0.00,0.00,0.00,29.75,1007.20,10.00,null,BKN,null,null,null,15000.00,null,null,null,null,null,null,null,null,null,null,75.00,KLAX 010753Z 00000KT 10SM BKN150 24/16 A2975 RMK AO2 SLP072 T02390156 402890200,null
LAX,2022-09-01 08:53,-118.3865,33.9382,32.00,75.00,61.00,61.75,130.00,3.00,0.00,29.74,1006.80,10.00,null,BKN,null,null,null,15000.00,null,null,null,null,null,null,null,null,null,null,75.00,KLAX 010853Z 13003KT 10SM BKN150 24/16 A2974 RMK AO2 SLP068 T02390161 58002,null
LAX,2022-09-01 09:53,-118.3865,33.9382,32.00,77.00,61.00,57.77,0.00,0.00,0.00,29.72,1006.30,10.00,null,BKN,null,null,null,15000.00,null,null,null,null,null,null,null,null,null,null,77.00,KLAX 010953Z 00000KT 10SM BKN150 25/16 A2972 RMK AO2 SLP063 T02500161,null
LAX,2022-09-01 10:45,-118.3865,33.9382,32.00,78.10,60.10,53.95,270.00,5.00,0.00,29.72,null,10.00,null,FEW,BKN,null,null,700.00,15000.00,null,null,null,null,null,null,null,null,null,78.10,KLAX 011045Z 27005KT 10SM FEW007 BKN150 26/16 A2972 RMK AO2 T02560156,null
LAX,2022-09-01 10:53,-118.3865,33.9382,32.00,73.90,64.00,71.21,270.00,6.00,0.00,29.72,1006.10,10.00,null,FEW,BKN,null,null,700.00,15000.00,null,null,null,null,null,null,null,null,null,73.90,KLAX 011053Z 27006KT 10SM FEW007 BKN150 23/18 A2972 RMK AO2 SLP061 T02330178,null
LAX,2022-09-01 11:53,-118.3865,33.9382,32.00,71.10,63.00,75.58,260.00,6.00,0.00,29.72,1006.00,10.00,null,FEW,BKN,null,null,400.00,15000.00,null,null,null,null,null,null,null,null,null,71.10,KLAX 011153Z 26006KT 10SM FEW004 BKN150 22/17 A2972 RMK AO2 SLP060 T02170172 10261 20211 56008,null
LAX,2022-09-01 12:53,-118.3865,33.9382,32.00,72.00,62.10,71.02,0.00,0.00,0.00,29.74,1006.70,10.00,null,SCT,SCT,null,null,15000.00,20000.00,null,null,null,null,null,null,null,null,null,72.00,KLAX 011253Z 00000KT 10SM SCT150 SCT200 22/17 A2974 RMK AO2 SLP067 T02220167,null
LAX,2022-09-01 13:53,-118.3865,33.9382,32.00,72.00,63.00,73.31,70.00,3.00,0.00,29.76,1007.30,6.00,null,SCT,BKN,null,null,16000.00,20000.00,null,null,HZ,null,null,null,null,null,null,72.00,KLAX 011353Z 07003KT 6SM HZ SCT160 BKN200 22/17 A2976 RMK AO2 SLP073 T02220172,null
LAX,2022-09-01 14:53,-118.3865,33.9382,32.00,77.00,63.00,62.00,110.00,5.00,0.00,29.77,1007.80,7.00,null,FEW,SCT,null,null,16000.00,20000.00,null,null,null,null,null,null,null,null,null,77.00,KLAX 011453Z 11005KT 7SM FEW160 SCT200 25/17 A2977 RMK AO2 SLP078 T02500172 51018,null
LAX,2022-09-01 15:53,-118.3865,33.9382,32.00,79.00,64.00,60.11,90.00,5.00,0.00,29.77,1007.90,8.00,null,FEW,SCT,null,null,16000.00,22000.00,null,null,null,null,null,null,null,null,null,79.00,KLAX 011553Z 09005KT 8SM FEW160 SCT220 26/18 A2977 RMK AO2 SLP079 T02610178,null
LAX,2022-09-01 16:53,-118.3865,33.9382,32.00,84.90,63.00,47.91,0.00,0.00,0.00,29.77,1007.90,9.00,null,FEW,FEW,SCT,null,7000.00,16000.00,25000.00,null,null,null,null,null,null,null,null,85.83,KLAX 011653Z 00000KT 9SM FEW070 FEW160 SCT250 29/17 A2977 RMK AO2 SLP079 T02940172,null
LAX,2022-09-01 17:53,-118.3865,33.9382,32.00,82.90,64.00,52.93,220.00,9.00,0.00,29.78,1008.20,9.00,null,FEW,FEW,SCT,null,8000.00,16000.00,25000.00,null,null,null,null,null,null,null,null,84.32,KLAX 011753Z 22009KT 9SM FEW080 FEW160 SCT250 28/18 A2978 RMK AO2 SLP082 T02830178 10306 20211 53006,null
LAX,2022-09-01 18:53,-118.3865,33.9382,32.00,80.10,64.00,57.98,260.00,8.00,0.00,29.78,1008.10,9.00,null,FEW,FEW,SCT,null,9000.00,16000.00,25000.00,null,null,null,null,null,null,null,null,81.71,KLAX 011853Z 26008KT 9SM FEW090 FEW160 SCT250 27/18 A2978 RMK AO2 SLP081 T02670178,null
LAX,2022-09-01 19:53,-118.3865,33.9382,32.00,82.00,64.00,54.50,270.00,7.00,0.00,29.75,1007.30,9.00,null,FEW,FEW,SCT,null,9000.00,16000.00,25000.00,null,null,null,null,null,null,null,null,83.47,KLAX 011953Z 27007KT 9SM FEW090 FEW160 SCT250 28/18 A2975 RMK AO2 SLP073 T02780178,null
LAX,2022-09-01 20:53,-118.3865,33.9382,32.00,82.90,64.00,52.93,250.00,9.00,0.00,29.74,1007.00,10.00,null,FEW,FEW,SCT,null,10000.00,14000.00,25000.00,null,null,null,null,null,null,null,null,84.32,KLAX 012053Z 25009KT 10SM FEW100 FEW140 SCT250 28/18 A2974 RMK AO2 SLP070 T02830178 58013,null
LAX,2022-09-01 21:53,-118.3865,33.9382,32.00,86.00,64.00,47.91,240.00,7.00,0.00,29.73,1006.40,10.00,null,FEW,FEW,SCT,null,10000.00,15000.00,25000.00,null,null,null,null,null,null,null,null,87.31,KLAX 012153Z 24007KT 10SM FEW100 FEW150 SCT250 30/18 A2973 RMK AO2 SLP064 T03000178,null
LAX,2022-09-01 22:53,-118.3865,33.9382,32.00,82.00,64.90,56.24,260.00,11.00,0.00,29.71,1005.90,10.00,null,FEW,FEW,SCT,null,10000.00,15000.00,25000.00,null,null,null,null,null,null,null,null,83.76,KLAX 012253Z 26011KT 10SM FEW100 FEW150 SCT250 28/18 A2971 RMK AO2 SLP059 T02780183,null
