station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LAX,2022-01-01 00:53,-118.3865,33.9382,32.00,57.00,48.90,74.27,280.00,12.00,0.00,29.71,1005.80,10.00,M,FEW,SCT,M,M,1500.00,3800.00,M,M,M,M,M,M,M,M,M,57.00,KLAX 010053Z 28012KT 10SM FEW015 SCT038 14/09 A2971 RMK AO2 SLP058 T01390094,M
LAX,2022-01-01 01:53,-118.3865,33.9382,32.00,55.90,48.90,77.28,M,4.00,0.00,29.71,1006.00,10.00,M,FEW,SCT,M,M,1200.00,3400.00,M,M,M,M,M,M,M,M,M,55.90,KLAX 010153Z VRB04KT 10SM FEW012 SCT034 13/09 A2971 RMK AO2 SLP060 T01330094,M
LAX,2022-01-01 02:53,-118.3865,33.9382,32.00,55.00,48.00,77.21,350.00,6.00,0.00,29.74,1007.10,10.00,M,SCT,SCT,M,M,1400.00,4900.00,M,M,M,M,M,M,M,M,M,55.00,KLAX 010253Z 35006KT 10SM SCT014 SCT049 13/09 A2974 RMK AO2 SLP071 T01280089 53014,M
LAX,2022-01-01 03:53,-118.3865,33.9382,32.00,54.00,41.00,61.32,360.00,4.00,0.00,29.76,1007.70,10.00,M,FEW,SCT,M,M,1300.00,4400.00,M,M,M,M,M,M,M,M,M,54.00,KLAX 010353Z 36004KT 10SM FEW013 SCT044 12/05 A2976 RMK AO2 SLP077 T01220050,M
LAX,2022-01-01 04:53,-118.3865,33.9382,32.00,54.00,37.00,52.45,M,5.00,0.00,29.79,1008.70,10.00,M,SCT,BKN,M,M,1300.00,3000.00,M,M,M,M,M,M,M,M,M,54.00,KLAX 010453Z VRB05KT 10SM SCT013 BKN030 12/03 A2979 RMK AO2 SLP087 T01220028,M
LAX,2022-01-01 05:53,-118.3865,33.9382,32.00,53.10,36.00,52.11,360.00,4.00,0.00,29.82,1009.70,10.00,M,FEW,SCT,M,M,1400.00,3800.00,M,M,M,M,M,M,M,M,M,53.10,KLAX 010553Z 36004KT 10SM FEW014 SCT038 12/02 A2982 RMK AO2 SLP097 T01170022 10139 20117 53026,M
LAX,2022-01-01 06:53,-118.3865,33.9382,32.00,54.00,37.00,52.45,20.00,9.00,0.00,29.85,1010.70,10.00,M,FEW,SCT,M,M,1500.00,3800.00,M,M,M,M,M,M,M,M,M,54.00,KLAX 010653Z 02009KT 10SM FEW015 SCT038 12/03 A2985 RMK AO2 SLP107 T01220028,M
LAX,2022-01-01 07:53,-118.3865,33.9382,32.00,54.00,33.10,44.92,20.00,6.00,0.00,29.87,1011.40,10.00,M,SCT,M,M,M,4800.00,M,M,M,M,M,M,M,M,M,M,54.00,KLAX 010753Z 02006KT 10SM SCT048 12/01 A2987 RMK AO2 SLP114 T01220006 401500083,M
LAX,2022-01-01 08:53,-118.3865,33.9382,32.00,52.00,36.00,54.26,10.00,6.00,0.00,29.89,1011.90,10.00,M,FEW,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,52.00,KLAX 010853Z 01006KT 10SM FEW050 11/02 A2989 RMK AO2 SLP119 T01110022 51022,M
LAX,2022-01-01 09:17,-118.3865,33.9382,32.00,51.10,39.00,63.12,360.00,7.00,0.00,29.91,M,9.00,M,BKN,M,M,M,1700.00,M,M,M,M,M,M,M,M,M,M,51.10,KLAX 010917Z 36007KT 9SM BKN017 11/04 A2991 RMK AO2 T01060039,M
LAX,2022-01-01 09:50,-118.3865,33.9382,32.00,51.80,41.00,66.48,20.00,8.00,0.00,29.92,M,9.00,M,SCT,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,51.80,KLAX 010950Z 02008KT 9SM SCT024 11/05 A2992 RMK AO2,M
LAX,2022-01-01 09:53,-118.3865,33.9382,32.00,52.00,41.00,66.00,10.00,7.00,0.00,29.92,1013.10,9.00,M,FEW,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,52.00,KLAX 010953Z 01007KT 9SM FEW024 11/05 A2992 RMK AO2 SLP131 T01110050,M
LAX,2022-01-01 10:53,-118.3865,33.9382,32.00,51.10,39.00,63.12,340.00,6.00,0.00,29.94,1013.90,10.00,M,SCT,BKN,BKN,M,2100.00,2800.00,3900.00,M,M,M,M,M,M,M,M,51.10,KLAX 011053Z 34006KT 10SM SCT021 BKN028 BKN039 11/04 A2994 RMK AO2 SLP139 T01060039,M
LAX,2022-01-01 11:11,-118.3865,33.9382,32.00,51.10,39.00,63.12,360.00,7.00,0.00,29.94,M,10.00,M,SCT,BKN,BKN,M,2300.00,3300.00,4000.00,M,M,M,M,M,M,M,M,51.10,KLAX 011111Z 36007KT 10SM SCT023 BKN033 BKN040 11/04 A2994 RMK AO2 T01060039,M
LAX,2022-01-01 11:53,-118.3865,33.9382,32.00,51.10,35.10,54.13,350.00,6.00,0.00,29.95,1014.10,10.00,M,SCT,SCT,BKN,M,2100.00,2600.00,4000.00,M,M,M,M,M,M,M,M,51.10,KLAX 011153Z 35006KT 10SM SCT021 SCT026 BKN040 11/02 A2995 RMK AO2 SLP141 T01060017 10128 20100 53009,M
LAX,2022-01-01 12:53,-118.3865,33.9382,32.00,50.00,33.10,52.06,350.00,4.00,0.00,29.98,1014.90,10.00,M,SCT,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,50.00,KLAX 011253Z 35004KT 10SM SCT021 10/01 A2998 RMK AO2 SLP149 T01000006,M
LAX,2022-01-01 13:53,-118.3865,33.9382,32.00,50.00,32.00,49.81,350.00,9.00,0.00,30.01,1016.10,10.00,M,SCT,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,50.00,KLAX 011353Z 35009KT 10SM SCT026 10/00 A3001 RMK AO2 SLP161 T01000000,M
LAX,2022-01-01 14:53,-118.3865,33.9382,32.00,50.00,30.90,47.64,350.00,5.00,0.00,30.05,1017.50,10.00,M,BKN,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,50.00,KLAX 011453Z 35005KT 10SM BKN025 10/M01 A3005 RMK AO2 SLP175 T01001006 53033,M
LAX,2022-01-01 15:43,-118.3865,33.9382,32.00,50.00,33.10,52.06,40.00,5.00,0.00,30.08,M,10.00,M,SCT,BKN,M,M,2900.00,3400.00,M,M,M,M,M,M,M,M,M,50.00,KLAX 011543Z 04005KT 10SM SCT029 BKN034 10/01 A3008 RMK AO2 T01000006,M
LAX,2022-01-01 15:53,-118.3865,33.9382,32.00,50.00,33.10,52.06,100.00,3.00,0.00,30.08,1018.60,10.00,M,SCT,BKN,M,M,2900.00,3400.00,M,M,M,M,M,M,M,M,M,50.00,KLAX 011553Z 10003KT 10SM SCT029 BKN034 10/01 A3008 RMK AO2 SLP186 T01000006,M
LAX,2022-01-01 16:53,-118.3865,33.9382,32.00,53.10,33.10,46.42,360.00,6.00,0.00,30.10,1019.30,10.00,M,SCT,BKN,M,M,2900.00,3400.00,M,M,M,M,M,M,M,M,M,53.10,KLAX 011653Z 36006KT 10SM SCT029 BKN034 12/01 A3010 RMK AO2 SLP193 T01170006,M
LAX,2022-01-01 17:53,-118.3865,33.9382,32.00,57.00,35.10,43.63,30.00,5.00,0.00,30.13,1020.10,10.00,M,FEW,SCT,M,M,3000.00,15000.00,M,M,M,M,M,M,M,M,M,57.00,KLAX 011753Z 03005KT 10SM FEW030 SCT150 14/02 A3013 RMK AO2 SLP201 T01390017 10139 20094 51027,M
LAX,2022-01-01 18:53,-118.3865,33.9382,32.00,60.10,41.00,49.21,M,4.00,0.00,30.13,1020.10,10.00,M,FEW,SCT,M,M,3000.00,20000.00,M,M,M,M,M,M,M,M,M,60.10,KLAX 011853Z VRB04KT 10SM FEW030 SCT200 16/05 A3013 RMK AO2 SLP201 T01560050,M
LAX,2022-01-01 19:53,-118.3865,33.9382,32.00,59.00,41.00,51.18,180.00,3.00,0.00,30.12,1019.80,10.00,M,FEW,SCT,M,M,3000.00,15000.00,M,M,M,M,M,M,M,M,M,59.00,KLAX 011953Z 18003KT 10SM FEW030 SCT150 15/05 A3012 RMK AO2 SLP198 T01500050,M
LAX,2022-01-01 20:53,-118.3865,33.9382,32.00,60.10,41.00,49.21,210.00,5.00,0.00,30.11,1019.60,10.00,M,FEW,SCT,M,M,3000.00,15000.00,M,M,M,M,M,M,M,M,M,60.10,KLAX 012053Z 21005KT 10SM FEW030 SCT150 16/05 A3011 RMK AO2 SLP196 T01560050 58005,M
LAX,2022-01-01 21:53,-118.3865,33.9382,32.00,60.10,39.90,47.15,230.00,6.00,0.00,30.12,1019.90,10.00,M,FEW,SCT,M,M,3000.00,15000.00,M,M,M,M,M,M,M,M,M,60.10,KLAX 012153Z 23006KT 10SM FEW030 SCT150 16/04 A3012 RMK AO2 SLP199 T01560044,M
LAX,2022-01-01 22:53,-118.3865,33.9382,32.00,60.10,39.90,47.15,270.00,7.00,0.00,30.14,1020.40,10.00,M,FEW,SCT,M,M,3000.00,20000.00,M,M,M,M,M,M,M,M,M,60.10,KLAX 012253Z 27007KT 10SM FEW030 SCT200 16/04 A3014 RMK AO2 SLP204 T01560044,M
LAX,2022-01-01 23:53,-118.3865,33.9382,32.00,59.00,41.00,51.18,260.00,10.00,0.00,30.16,1021.10,10.00,M,FEW,FEW,M,M,5000.00,25000.00,M,M,M,M,M,M,M,M,M,59.00,KLAX 012353Z 26010KT 10SM FEW050 FEW250 15/05 A3016 RMK AO2 SLP211 T01500050 10161 20139 53015,M
LAX,2022-01-02 00:53,-118.3865,33.9382,32.00,57.00,43.00,59.40,250.00,8.00,0.00,30.18,1022.00,10.00,M,FEW,FEW,M,M,5000.00,25000.00,M,M,M,M,M,M,M,M,M,57.00,KLAX 020053Z 25008KT 10SM FEW050 FEW250 14/06 A3018 RMK AO2 SLP220 T01390061,M
LAX,2022-01-02 01:53,-118.3865,33.9382,32.00,55.00,44.10,66.61,250.00,5.00,0.00,30.21,1022.80,10.00,M,FEW,FEW,M,M,4500.00,22000.00,M,M,M,M,M,M,M,M,M,55.00,KLAX 020153Z 25005KT 10SM FEW045 FEW220 13/07 A3021 RMK AO2 SLP228 T01280067,M
LAX,2022-01-02 02:53,-118.3865,33.9382,32.00,57.00,44.10,61.95,300.00,6.00,0.00,30.22,1023.20,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.00,KLAX 020253Z 30006KT 10SM CLR 14/07 A3022 RMK AO2 SLP232 T01390067 51020,M
LAX,2022-01-02 03:53,-118.3865,33.9382,32.00,55.00,30.90,39.63,360.00,3.00,0.00,30.24,1024.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.00,KLAX 020353Z 36003KT 10SM CLR 13/M01 A3024 RMK AO2 SLP240 T01281006,M
LAX,2022-01-02 04:53,-118.3865,33.9382,32.00,53.10,27.00,36.22,20.00,3.00,0.00,30.26,1024.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.10,KLAX 020453Z 02003KT 10SM CLR 12/M03 A3026 RMK AO2 SLP245 T01171028,M
LAX,2022-01-02 05:53,-118.3865,33.9382,32.00,53.10,30.00,40.96,40.00,6.00,0.00,30.27,1024.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.10,KLAX 020553Z 04006KT 10SM CLR 12/M01 A3027 RMK AO2 SLP248 T01171011 10150 20106 51017,M
LAX,2022-01-02 06:53,-118.3865,33.9382,32.00,51.10,32.00,47.81,40.00,5.00,0.00,30.27,1025.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.10,KLAX 020653Z 04005KT 10SM CLR 11/00 A3027 RMK AO2 SLP250 T01060000,M
LAX,2022-01-02 07:53,-118.3865,33.9382,32.00,51.10,30.00,44.09,10.00,4.00,0.00,30.27,1024.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.10,KLAX 020753Z 01004KT 10SM CLR 11/M01 A3027 RMK AO2 SLP249 T01061011 401610094,M
LAX,2022-01-02 08:53,-118.3865,33.9382,32.00,50.00,28.00,42.33,M,4.00,0.00,30.27,1024.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,KLAX 020853Z VRB04KT 10SM CLR 10/M02 A3027 RMK AO2 SLP248 T01001022 50000,M
LAX,2022-01-02 09:53,-118.3865,33.9382,32.00,50.00,28.90,43.92,10.00,6.00,0.00,30.28,1025.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,KLAX 020953Z 01006KT 10SM CLR 10/M02 A3028 RMK AO2 SLP250 T01001017,M
LAX,2022-01-02 10:53,-118.3865,33.9382,32.00,51.10,24.10,34.57,340.00,4.00,0.00,30.28,1025.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.10,KLAX 021053Z 34004KT 10SM CLR 11/M04 A3028 RMK AO2 SLP253 T01061044,M
LAX,2022-01-02 11:53,-118.3865,33.9382,32.00,48.00,24.10,38.80,360.00,6.00,0.00,30.27,1025.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.80,KLAX 021153Z 36006KT 10SM CLR 09/M04 A3027 RMK AO2 SLP250 T00891044 10117 20083 50001,M
LAX,2022-01-02 12:53,-118.3865,33.9382,32.00,46.00,26.10,45.47,30.00,7.00,0.00,30.28,1025.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,41.84,KLAX 021253Z 03007KT 10SM CLR 08/M03 A3028 RMK AO2 SLP251 T00781033,M
LAX,2022-01-02 13:53,-118.3865,33.9382,32.00,46.90,23.00,38.62,20.00,6.00,0.00,30.28,1025.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.48,KLAX 021353Z 02006KT 10SM CLR 08/M05 A3028 RMK AO2 SLP254 T00831050,M
LAX,2022-01-02 14:53,-118.3865,33.9382,32.00,46.00,24.10,41.84,40.00,5.00,0.00,30.29,1025.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.02,KLAX 021453Z 04005KT 10SM CLR 08/M04 A3029 RMK AO2 SLP255 T00781044 53005,M
LAX,2022-01-02 15:53,-118.3865,33.9382,32.00,50.00,21.90,32.83,10.00,5.00,0.00,30.29,1025.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,KLAX 021553Z 01005KT 10SM CLR 10/M06 A3029 RMK AO2 SLP258 T01001056,M
LAX,2022-01-02 16:53,-118.3865,33.9382,32.00,53.10,24.10,32.11,40.00,7.00,0.00,30.31,1026.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.10,KLAX 021653Z 04007KT 10SM CLR 12/M04 A3031 RMK AO2 SLP263 T01171044,M
LAX,2022-01-02 17:53,-118.3865,33.9382,32.00,55.90,26.10,31.51,50.00,9.00,0.00,30.32,1026.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.90,KLAX 021753Z 05009KT 10SM CLR 13/M03 A3032 RMK AO2 SLP266 T01331033 10133 20072 53012,M
LAX,2022-01-02 18:53,-118.3865,33.9382,32.00,59.00,27.00,29.25,40.00,6.00,0.00,30.30,1026.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,KLAX 021853Z 04006KT 10SM CLR 15/M03 A3030 RMK AO2 SLP261 T01501028,M
LAX,2022-01-02 19:53,-118.3865,33.9382,32.00,62.10,26.10,25.24,50.00,9.00,0.00,30.26,1024.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.10,KLAX 021953Z 05009KT 10SM CLR 17/M03 A3026 RMK AO2 SLP245 T01671033,M
LAX,2022-01-02 20:53,-118.3865,33.9382,32.00,63.00,21.90,20.52,60.00,5.00,0.00,30.22,1023.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,63.00,KLAX 022053Z 06005KT 10SM CLR 17/M06 A3022 RMK AO2 SLP233 T01721056 58033,M
LAX,2022-01-02 21:53,-118.3865,33.9382,32.00,64.00,19.90,18.20,130.00,4.00,0.00,30.19,1022.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.00,KLAX 022153Z 13004KT 10SM CLR 18/M07 A3019 RMK AO2 SLP224 T01781067,M
LAX,2022-01-02 22:53,-118.3865,33.9382,32.00,66.00,19.90,16.97,0.00,0.00,0.00,30.17,1021.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.00,KLAX 022253Z 00000KT 10SM CLR 19/M07 A3017 RMK AO2 SLP218 T01891067,M
LAX,2022-01-02 23:53,-118.3865,33.9382,32.00,60.10,36.00,40.46,240.00,7.00,0.00,30.18,1021.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.10,KLAX 022353Z 24007KT 10SM CLR 16/02 A3018 RMK AO2 SLP219 T01560022 10189 20133 55014,M
LAX,2022-01-03 00:53,-118.3865,33.9382,32.00,57.00,37.00,47.04,270.00,10.00,0.00,30.18,1021.80,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.00,KLAX 030053Z 27010KT 10SM CLR 14/03 A3018 RMK AO2 SLP218 T01390028,M
LAX,2022-01-03 01:53,-118.3865,33.9382,32.00,55.90,39.90,54.83,260.00,10.00,0.00,30.17,1021.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.90,KLAX 030153Z 26010KT 10SM CLR 13/04 A3017 RMK AO2 SLP217 T01330044,M
LAX,2022-01-03 02:53,-118.3865,33.9382,32.00,55.90,41.00,57.23,270.00,13.00,0.00,30.18,1022.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.90,KLAX 030253Z 27013KT 10SM CLR 13/05 A3018 RMK AO2 SLP220 T01330050 55000,M
LAX,2022-01-03 03:53,-118.3865,33.9382,32.00,54.00,42.10,63.98,270.00,11.00,0.00,30.19,1022.20,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,54.00,KLAX 030353Z 27011KT 10SM CLR 12/06 A3019 RMK AO2 SLP222 T01220056,M
LAX,2022-01-03 04:53,-118.3865,33.9382,32.00,53.10,44.10,71.40,270.00,8.00,0.00,30.20,1022.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.10,KLAX 030453Z 27008KT 10SM CLR 12/07 A3020 RMK AO2 SLP225 T01170067,M
LAX,2022-01-03 05:53,-118.3865,33.9382,32.00,54.00,44.10,69.09,320.00,3.00,0.00,30.21,1022.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,54.00,KLAX 030553Z 32003KT 10SM CLR 12/07 A3021 RMK AO2 SLP227 T01220067 10156 20117 53009,M
LAX,2022-01-03 06:53,-118.3865,33.9382,32.00,52.00,33.10,48.34,30.00,3.00,0.00,30.21,1022.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,52.00,KLAX 030653Z 03003KT 10SM CLR 11/01 A3021 RMK AO2 SLP227 T01110006,M
LAX,2022-01-03 07:53,-118.3865,33.9382,32.00,52.00,27.00,37.72,40.00,3.00,0.00,30.21,1022.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,52.00,KLAX 030753Z 04003KT 10SM CLR 11/M03 A3021 RMK AO2 SLP227 T01111028 401890072,M
LAX,2022-01-03 08:53,-118.3865,33.9382,32.00,51.10,26.10,37.57,360.00,7.00,0.00,30.21,1022.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.10,KLAX 030853Z 36007KT 10SM CLR 11/M03 A3021 RMK AO2 SLP226 T01061033 58001,M
LAX,2022-01-03 09:53,-118.3865,33.9382,32.00,48.00,27.00,43.77,80.00,3.00,0.00,30.19,1022.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,46.98,KLAX 030953Z 08003KT 10SM CLR 09/M03 A3019 RMK AO2 SLP221 T00891028,M
LAX,2022-01-03 10:07,-118.3865,33.9382,32.00,46.00,27.00,47.20,90.00,3.00,0.00,30.18,M,10.00,M,FEW,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,44.69,KLAX 031007Z 09003KT 10SM FEW009 08/M03 A3018 RMK AO2 FU FEW009 T00781028,M
LAX,2022-01-03 10:53,-118.3865,33.9382,32.00,46.90,28.00,47.54,40.00,3.00,0.00,30.18,1021.70,10.00,M,FEW,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,45.72,KLAX 031053Z 04003KT 10SM FEW009 08/M02 A3018 RMK AO2 SLP217 FU FEW009 T00831022,M
LAX,2022-01-03 11:53,-118.3865,33.9382,32.00,48.00,26.10,42.17,M,3.00,0.00,30.17,1021.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,46.98,KLAX 031153Z VRB03KT 10SM CLR 09/M03 A3017 RMK AO2 SLP216 T00891033 10128 20072 56011,M
LAX,2022-01-03 12:53,-118.3865,33.9382,32.00,45.00,27.00,49.02,60.00,3.00,0.00,30.17,1021.50,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.55,KLAX 031253Z 06003KT 10SM CLR 07/M03 A3017 RMK AO2 SLP215 T00721028,M
LAX,2022-01-03 13:53,-118.3865,33.9382,32.00,45.00,26.10,47.23,50.00,5.00,0.00,30.18,1022.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,41.83,KLAX 031353Z 05005KT 10SM CLR 07/M03 A3018 RMK AO2 SLP221 T00721033,M
LAX,2022-01-03 14:53,-118.3865,33.9382,32.00,46.00,24.10,41.84,0.00,0.00,0.00,30.20,1022.60,10.00,M,FEW,FEW,M,M,7000.00,10000.00,M,M,M,M,M,M,M,M,M,46.00,KLAX 031453Z 00000KT 10SM FEW070 FEW100 08/M04 A3020 RMK AO2 SLP226 T00781044 53008,M
LAX,2022-01-03 15:53,-118.3865,33.9382,32.00,46.90,27.00,45.62,100.00,4.00,0.00,30.21,1022.80,10.00,M,FEW,FEW,M,M,7500.00,11000.00,M,M,M,M,M,M,M,M,M,44.82,KLAX 031553Z 10004KT 10SM FEW075 FEW110 08/M03 A3021 RMK AO2 SLP228 T00831028,M
LAX,2022-01-03 16:53,-118.3865,33.9382,32.00,53.10,25.00,33.34,330.00,3.00,0.00,30.22,1023.30,10.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,53.10,KLAX 031653Z 33003KT 10SM FEW100 12/M04 A3022 RMK AO2 SLP233 T01171039,M
LAX,2022-01-03 17:53,-118.3865,33.9382,32.00,57.00,26.10,30.28,0.00,0.00,0.00,30.24,1024.00,10.00,M,FEW,FEW,M,M,10000.00,14000.00,M,M,M,M,M,M,M,M,M,57.00,KLAX 031753Z 00000KT 10SM FEW100 FEW140 14/M03 A3024 RMK AO2 SLP240 T01391033 10139 20067 53016,M
LAX,2022-01-03 18:53,-118.3865,33.9382,32.00,59.00,28.90,31.63,260.00,3.00,0.00,30.23,1023.50,10.00,M,FEW,FEW,M,M,11000.00,14000.00,M,M,M,M,M,M,M,M,M,59.00,KLAX 031853Z 26003KT 10SM FEW110 FEW140 15/M02 A3023 RMK AO2 SLP235 T01501017,M
LAX,2022-01-03 19:53,-118.3865,33.9382,32.00,59.00,41.00,51.18,270.00,8.00,0.00,30.20,1022.70,10.00,M,FEW,FEW,M,M,12000.00,14000.00,M,M,M,M,M,M,M,M,M,59.00,KLAX 031953Z 27008KT 10SM FEW120 FEW140 15/05 A3020 RMK AO2 SLP227 T01500050,M
LAX,2022-01-03 20:53,-118.3865,33.9382,32.00,57.90,42.10,55.55,260.00,10.00,0.00,30.19,1022.10,10.00,M,FEW,SCT,BKN,M,12000.00,14000.00,25000.00,M,M,M,M,M,M,M,M,57.90,KLAX 032053Z 26010KT 10SM FEW120 SCT140 BKN250 14/06 A3019 RMK AO2 SLP221 T01440056 58019,M
LAX,2022-01-03 21:53,-118.3865,33.9382,32.00,57.90,43.00,57.51,240.00,9.00,0.00,30.18,1022.00,10.00,M,FEW,SCT,BKN,M,12000.00,14000.00,25000.00,M,M,M,M,M,M,M,M,57.90,KLAX 032153Z 24009KT 10SM FEW120 SCT140 BKN250 14/06 A3018 RMK AO2 SLP220 T01440061,M
LAX,2022-01-03 22:53,-118.3865,33.9382,32.00,57.90,39.00,49.26,250.00,9.00,0.00,30.18,1022.10,10.00,M,FEW,SCT,M,M,12000.00,25000.00,M,M,M,M,M,M,M,M,M,57.90,KLAX 032253Z 25009KT 10SM FEW120 SCT250 14/04 A3018 RMK AO2 SLP221 T01440039,M
LAX,2022-01-03 23:53,-118.3865,33.9382,32.00,57.00,45.00,64.12,260.00,11.00,0.00,30.18,1022.10,10.00,M,FEW,BKN,M,M,14000.00,20000.00,M,M,M,M,M,M,M,M,M,57.00,KLAX 032353Z 26011KT 10SM FEW140 BKN200 14/07 A3018 RMK AO2 SLP221 T01390072 10156 20139 56001,M
LAX,2022-01-04 00:53,-118.3865,33.9382,32.00,55.90,46.90,71.69,260.00,11.00,0.00,30.19,1022.20,10.00,M,FEW,SCT,M,M,14000.00,20000.00,M,M,M,M,M,M,M,M,M,55.90,KLAX 040053Z 26011KT 10SM FEW140 SCT200 13/08 A3019 RMK AO2 SLP222 T01330083,M
LAX,2022-01-04 01:53,-118.3865,33.9382,32.00,55.00,46.90,74.08,250.00,9.00,0.00,30.19,1022.40,10.00,M,SCT,M,M,M,20000.00,M,M,M,M,M,M,M,M,M,M,55.00,KLAX 040153Z 25009KT 10SM SCT200 13/08 A3019 RMK AO2 SLP224 T01280083,M
LAX,2022-01-04 02:53,-118.3865,33.9382,32.00,55.00,46.90,74.08,240.00,5.00,0.00,30.20,1022.80,10.00,M,FEW,M,M,M,20000.00,M,M,M,M,M,M,M,M,M,M,55.00,KLAX 040253Z 24005KT 10SM FEW200 13/08 A3020 RMK AO2 SLP228 T01280083 53006,M
