,lKey,cKey,StartDate,StartTime,tMidnightSecs,tStartSecs,tStopSecs,tStart,tStop,Duration,Msn,AcId,AcType,PC,WC,Bcn,OT,Airline,CT,Orig,EstOrig,TOFRwy,Dest,EstDest,LNDRwy,ATAThdArr,tON,FacName,equipList,pKey
0,33987,LAX+ASDEX_20220601_081405_33987,06/01/2022,08:09:03,1654041600.0,1654070943.0,1654071245.0,29343.0,29645.0,302.0,45998,SWA2148,B38M,J,L,1313,A,SWA,AC,,,,LAX,LAX,06R,29467.0,29494.0,LAX,F/,33987_SWA2148
1,33989,LAX+ASDEX_20220601_081755_33989,06/01/2022,07:58:40,1654041600.0,1654070320.0,1654071475.0,28720.0,29875.0,1155.0,46000,WGN7522,B744,J,H,3454,A,WGN,AC,,,,LAX,LAX,06R,28843.0,28874.0,SMR,B/,33989_WGN7522
2,33995,LAX+ASDEX_20220601_082400_33995,06/01/2022,08:01:50,1654041600.0,1654070510.0,1654071840.0,28910.0,30240.0,1330.0,46006,UAL2215,B772,J,H,6745,A,UAL,AC,,,,LAX,LAX,06R,29038.0,29069.0,LAX,B/,33995_UAL2215
3,34009,LAX+ASDEX_20220601_084938_34009,06/01/2022,08:40:42,1654041600.0,1654072842.0,1654073378.0,31242.0,31778.0,536.0,46020,JBU1723,A321,J,L,2603,A,JBU,AC,,,,LAX,LAX,06R,31375.0,31401.0,LAX,F/,34009_JBU1723
4,34012,LAX+ASDEX_20220601_085925_34012,06/01/2022,08:43:25,1654041600.0,1654073005.0,1654073965.0,31405.0,32365.0,960.0,46023,BOX598,B77L,J,H,1110,A,BOX,AC,,,,LAX,LAX,06R,31538.0,31545.0,LAX,B/,34012_BOX598
5,34014,LAX+ASDEX_20220601_085820_34014,06/01/2022,08:49:37,1654041600.0,1654073377.0,1654073900.0,31777.0,32300.0,523.0,46025,SKW3402,E75L,J,L,7365,A,SKW,AC,,,,LAX,LAX,06R,31921.0,31959.0,SMR,G/,34014_SKW3402
6,34018,LAX+ASDEX_20220601_090440_34018,06/01/2022,08:38:19,1654041600.0,1654072699.0,1654074280.0,31099.0,32680.0,1581.0,46030,TNO302,A306,J,H,3265,A,TNO,AC,,,,LAX,LAX,06R,31708.0,31726.0,LAX,C/,34018_TNO302
7,34034,LAX+ASDEX_20220601_093449_34034,06/01/2022,09:19:59,1654041600.0,1654075199.0,1654076089.0,33599.0,34489.0,890.0,46047,CAL5108,B77L,J,H,1114,A,CAL,AC,,,,LAX,LAX,06R,33733.0,33743.0,MODE_S,B/,34034_CAL5108
8,34037,LAX+ASDEX_20220601_094345_34037,06/01/2022,09:31:29,1654041600.0,1654075889.0,1654076625.0,34289.0,35025.0,736.0,46051,FDX1855,B763,J,H,3376,A,FDX,AC,,,,LAX,LAX,06R,34418.0,34444.0,LAX,C/,34037_FDX1855
9,34043,LAX+ASDEX_20220601_094755_34043,06/01/2022,09:36:17,1654041600.0,1654076177.0,1654076875.0,34577.0,35275.0,698.0,46057,ATN3496,B763,J,H,6625,A,ATN,AC,,,,LAX,LAX,06R,34710.0,34738.0,LAX,C/,34043_ATN3496
10,34057,LAX+ASDEX_20220601_101729_34057,06/01/2022,10:03:23,1654041600.0,1654077803.0,1654078649.0,36203.0,37049.0,846.0,46071,FDX1876,B763,J,H,3274,A,FDX,AC,,,,LAX,LAX,06R,36331.0,36359.0,LAX,C/,34057_FDX1876
11,34058,LAX+ASDEX_20220601_102126_34058,06/01/2022,10:10:11,1654041600.0,1654078211.0,1654078886.0,36611.0,37286.0,675.0,46072,EVA620,B77L,J,H,1120,A,EVA,AC,,,,LAX,LAX,06R,36739.0,36747.0,LAX,B/,34058_EVA620
12,34065,LAX+ASDEX_20220601_104043_34065,06/01/2022,10:19:07,1654041600.0,1654078747.0,1654080043.0,37147.0,38443.0,1296.0,46079,GTI1752,B77L,J,H,1122,A,GTI,AC,,,,LAX,LAX,06R,37280.0,37288.0,SMRADSB,B/,34065_GTI1752
13,34067,LAX+ASDEX_20220601_104411_34067,06/01/2022,10:30:58,1654041600.0,1654079458.0,1654080251.0,37858.0,38651.0,793.0,46081,CKS9931,B744,J,H,1016,A,CKS,AC,,,,LAX,LAX,06R,38000.0,38025.0,LAX,B/,34067_CKS9931
14,34069,LAX+ASDEX_20220601_104234_34069,06/01/2022,10:34:03,1654041600.0,1654079643.0,1654080154.0,38043.0,38554.0,511.0,46083,JBU2023,A321,J,L,1736,A,JBU,AC,,,,LAX,LAX,06R,38155.0,38179.0,SMRADSB,F/,34069_JBU2023
15,34079,LAX+ASDEX_20220601_110322_34079,06/01/2022,10:44:33,1654041600.0,1654080273.0,1654081402.0,38673.0,39802.0,1129.0,46094,CKS369,B744,J,H,2622,A,CKS,AC,,,,LAX,LAX,06R,38803.0,38836.0,SMR,B/,34079_CKS369
16,34085,LAX+ASDEX_20220601_111521_34085,06/01/2022,10:58:53,1654041600.0,1654081133.0,1654082121.0,39533.0,40521.0,988.0,46100,FDX1869,B763,J,H,3252,A,FDX,AC,,,,LAX,LAX,06R,39678.0,39702.0,LAX,C/,34085_FDX1869
