recTime,fltKey,bcnCode,source,AcId,acType,Orig,Dest,OpsType,estOrig,estDest,modeSCode
1664611712.0,36037,7032.0,LAX,AAL2548,A319,,,,,,
1664611886.0,36038,1145.0,LAX,JBU1223,A321,,,,,,
1664612529.0,36049,4713.0,LAX,N883CE,F2TH,,,,,,ac2931
1664612885.0,36053,3766.0,LAX,AAL2468,A321,,,,,,
1664610511.0,36054,656.0,SMRADSB,ACA779,A333,,LAX,A,,LAX,c0582b
1664610384.0,36055,4671.0,LAX,KAY53,A319,,LAX,A,,LAX,3c70b8
1664610636.0,36056,7352.0,LAX,ANA105,B77W,LAX,,D,LAX,,8691aa
1664610733.0,36057,1025.0,LAX,DAL1099,A321,LAX,,D,LAX,,a3b028
1664611099.0,36058,7255.0,LAX,AAL1725,A321,LAX,,D,LAX,,a0cdf3
1664611482.0,36059,7327.0,LAX,AAL2842,B738,LAX,,D,LAX,,a3f500
1664611771.0,36060,,SMR,UNKN,,LAX,LAX,I,LAX,LAX,
1664613540.0,36061,2115.0,LAX,DAL1554,B738,,,,,,
1664610735.0,36062,1200.0,SMR,ASA413,ACFT,LAX,LAX,I,LAX,LAX,a4ca6a
1664611564.0,36063,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664611815.0,36064,265.0,LAX,SH24,,HHR,,O,HHR,,ad5d21
1664611852.0,36065,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664612318.0,36066,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664612477.0,36067,7331.0,LAX,AAL762,A321,LAX,,D,LAX,,ac7a52
1664612585.0,36068,4631.0,LAX,VJT801,GLEX,LAX,,D,LAX,,4d20f9
1664614787.0,36069,3165.0,LAX,NKS1024,A320,,,,,,
1664609520.0,36070,,ADSB,O03,,LAX,LAX,I,LAX,LAX,a54cac
1664611940.0,36071,1067.0,LAX,CMP303,B39M,LAX,,D,LAX,,0c20df
1664612190.0,36072,7032.0,LAX,AAL2548,A319,,LAX,A,,LAX,aa35e1
1664612437.0,36073,1145.0,LAX,JBU1223,A321,,LAX,A,,LAX,ad6bdc
1664612530.0,36074,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664612612.0,36075,4713.0,LAX,N883CE,F2TH,,LAX,A,,LAX,ac2931
1664612694.0,36076,7257.0,LAX,VOI917,A20N,LAX,,D,LAX,,0d0b8a
1664612706.0,36077,1200.0,ADSB,UNKN,,LAX,LAX,I,LAX,LAX,ab77ee
1664612931.5,36078,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664613150.0,36079,2574.0,LAX,SWA501,B737,,LAX,A,,LAX,a9ccb0
1664613165.0,36080,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664613316.0,36081,1201.0,LAX,1201,,HHR,,O,HHR,,a21445
1664613393.0,36082,3766.0,LAX,AAL2468,A321,,LAX,A,,LAX,a09188
1664613431.0,36083,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664613548.0,36084,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664613592.0,36085,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664613715.0,36086,7367.0,LAX,JBU492,A320,LAX,,D,LAX,,a84d62
1664613735.0,36087,,SMR,UNKN,,LAX,LAX,I,LAX,LAX,
1664613775.0,36088,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664613937.0,36089,,ADSB,O91,,LAX,LAX,I,LAX,LAX,a4e154
1664614001.0,36090,2115.0,LAX,DAL1554,B738,,LAX,A,,LAX,a44988
1664614103.5,36091,,SMR,UNKN,,LAX,LAX,I,LAX,LAX,
1664614200.0,36092,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664614376.0,36093,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664614465.0,36094,3305.0,SMRMODE_SADSB,SKW3441,E75L,,LAX,A,,LAX,a4b5b6
1664614467.0,36095,,SMRMODE_SADSB,O91,,LAX,LAX,I,LAX,LAX,a4e154
1664614662.0,36096,1201.0,LAX,UNKN,,,,,,,a9e7c9
1664617757.0,36097,656.0,LAX,ACA779,A333,,,,,,
1664616990.0,36098,,SMR,UNKN,,LAX,LAX,I,LAX,LAX,
1664617131.5,36099,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664617406.0,36100,,SMR,UNKN,,LAX,LAX,I,LAX,LAX,
1664616990.0,36101,273.0,ADSB,PD18,,LAX,,D,LAX,,a5c983
1664618301.0,36102,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664618615.5,36103,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664618736.0,36104,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664619330.5,36105,,SMR,UNKN,,LAX,LAX,I,LAX,LAX,
1664618939.0,36106,1042.0,LAX,CKS374,B744,LAX,,D,LAX,,a95c38
1664619934.0,36107,3303.0,SMRADSB,FDX1876,MD11,,LAX,A,,LAX,a7d2e6
1664620211.0,36108,1013.0,LAX,EVA629,B77L,LAX,,D,LAX,,899124
1664620591.5,36109,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664620709.875,36110,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664620835.0,36111,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664620915.0,36112,,SMR,UNKN,,LAX,LAX,I,LAX,LAX,
1664621465.0,36113,,SMR,UNKN,,LAX,LAX,I,LAX,LAX,
1664621689.875,36114,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664621728.0,36115,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664620885.0,36116,3453.0,SMR,CKS450,B744,,LAX,A,,LAX,a9fa34
1664621982.0,36117,7310.0,ADSB,FDX654,B763,LAX,,D,LAX,,a2d234
1664616991.0,36118,,SMRADSB,O03,,LAX,LAX,I,LAX,LAX,a54cac
1664622213.0,36119,,SMR,UNKN,,LAX,LAX,I,LAX,LAX,
1664622298.0,36120,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664622467.0,36121,,SMR,UNKN,,LAX,LAX,I,LAX,LAX,
1664622760.0,36122,7271.0,ADSB,FDX451,B763,LAX,,D,LAX,,a0d5d6
1664623247.0,36123,7371.0,LAX,FDX456,B763,LAX,,D,LAX,,a173d2
1664623622.0,36124,1165.0,MODE_S,CAL5156,B77L,LAX,LAX,I,LAX,LAX,8990a5
1664623729.0,36125,273.0,LAX,PD18,,,,,,,a5c983
1664624189.0,36126,,SMR,UNKN,,LAX,LAX,I,LAX,LAX,
1664624474.0,36127,,LAX,E81,,LAX,LAX,I,LAX,LAX,a7f83b
1664624478.0,36128,1200.0,ADSB,1200,,,HHR,O,,HHR,a5e017
1664625908.0,36130,5657.0,LAX,FDX1508,B763,,,,,,
1664623795.0,36131,1167.0,LAX,CKK229,B77L,,LAX,A,,LAX,781a4b
1664624814.0,36132,2654.0,SMRADSB,DAL1031,A21N,,LAX,A,,LAX,a66576
1664624921.0,36133,2652.0,LAX,DAL370,B752,,LAX,A,,LAX,ab3c61
1664625102.0,36134,1033.0,LAX,FDX849,B763,LAX,,D,LAX,,a15778
1664625066.0,36135,,ADSB,O91,,LAX,LAX,I,LAX,LAX,a4e154
1664625742.0,36136,7231.0,LAX,N115AN,CL30,LAX,,D,LAX,,a03ed3
1664625935.0,36137,,SMR,UNKN,,LAX,LAX,I,LAX,LAX,
1664624263.0,36138,33.0,LAX,UNKN,,LAX,LAX,I,LAX,LAX,a9bf4b
1664625125.0,36139,7427.0,ADSB,NCA108,B748,,LAX,A,,LAX,846def
1664625922.5,36140,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664625955.0,36141,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664626065.0,36142,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664626118.5,36143,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664625723.0,36144,,LAX,O91,,LAX,LAX,I,LAX,LAX,a4e154
1664626335.0,36145,,LAX,UNKN,,LAX,LAX,I,LAX,LAX,
1664626401.0,36146,31.0,LAX,D130,ACFT,LAX,LAX,I,LAX,LAX,a6cff8
1664626573.0,36147,4627.0,LAX,AMF1450,BE99,LAX,,D,LAX,,ab3ba4
1664626054.0,36148,1166.0,LAX,CPA3780,B748,,LAX,A,,LAX,780233
1664626414.0,36149,5657.0,SMRADSB,FDX1508,B763,,LAX,A,,LAX,a10fe8
1664626574.0,36150,7261.0,LAX,ATN3597,B763,LAX,,D,LAX,,a3396b
